x,numerical_u,analytic_u
0.000000000000000000e+00,-9.982175583908143964e-16,0.000000000000000000e+00
4.908738521234051744e-02,1.467300383892392868e-01,1.467300362069024200e-01
9.817477042468103487e-02,2.902838145617327448e-01,2.902838102442993340e-01
1.472621556370215523e-01,4.275538227856395257e-01,4.275538164265672014e-01
1.963495408493620697e-01,5.555685819286648730e-01,5.555685736656092999e-01
2.454369260617025872e-01,6.715569590509194997e-01,6.715569490627503191e-01
2.945243112740431046e-01,7.730081560644304073e-01,7.730081445673658846e-01
3.436116964863836221e-01,8.577260609293351212e-01,8.577260481722452923e-01
3.926990816987241395e-01,9.238767868474022649e-01,9.238767731064444488e-01
4.417864669110646569e-01,9.700283703730475660e-01,9.700283559456679416e-01
4.908738521234051744e-01,9.951817690974643638e-01,9.951817542959755514e-01
5.399612373357456363e-01,9.987924878997674893e-01,9.987924730445748578e-01
5.890486225480862092e-01,9.807823656219992747e-01,9.807823510346745932e-01
6.381360077604267822e-01,9.415412670221776636e-01,9.415412530184892326e-01
6.872233929727672441e-01,8.819186433796265545e-01,8.819186302627175511e-01
7.363107781851077061e-01,8.032051444400944984e-01,8.032051324939010195e-01
7.853981633974482790e-01,7.071046797463902411e-01,7.071046692295149816e-01
8.344855486097888519e-01,5.956975341425047032e-01,5.956975252826037792e-01
8.835729338221293139e-01,4.713953358890266565e-01,4.713953288778915951e-01
9.326603190344697758e-01,3.368888521942607905e-01,3.368888471836616882e-01
9.817477042468103487e-01,1.950897422300931494e-01,1.950897393284942438e-01
1.030835089459150922e+00,4.906752850392462340e-02,4.906752777413544986e-02
1.079922474671491273e+00,-9.801684903387372638e-02,-9.801684757605480525e-02
1.129009859883831846e+00,-2.429794577940709577e-01,-2.429794541801999219e-01
1.178097245096172418e+00,-3.826822950738721363e-01,-3.826822893821799076e-01
1.227184630308512991e+00,-5.141012163389004908e-01,-5.141012086925942359e-01
1.276272015520853564e+00,-6.343913988196512310e-01,-6.343913893842522134e-01
1.325359400733193915e+00,-7.409489233332975378e-01,-7.409489123130511556e-01
