category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians,case
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,0,5.333412384913896e-05,3.5609678981193505e-05,1.6435196620534498e-05,nan,1.1911098691808064e-06,2.3848070714871383e-06,0.0,3.2032708393359144e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,1,5.333412384913896e-05,3.5609678981193505e-05,5.297824358763137e-06,1.1137372261771361e-05,1.5919578851386618e-05,3.905272863036213e-05,0.0,9.956408347733259e-05,4.0314117938922145e-05,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,2,5.333412384913896e-05,3.5609678981193505e-05,8.751857386357642e-05,8.222074950481328e-05,8.162440660730574e-05,0.0001547973517748158,0.0,0.00044032628806434104,0.0001140104493715377,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,0,5.333412384913896e-05,3.5609678981193505e-05,2.480297606410886e-06,nan,2.325675077408107e-06,7.84107696349956e-06,0.0,1.8825212713124984e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,1,5.333412384913896e-05,3.5609678981193505e-05,0.00011476785351760554,0.00011228755591119466,1.9925644785145913e-05,5.272638398678975e-05,0.0,0.00010794352216692005,2.9144434510519623e-05,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,2,5.333412384913896e-05,3.5609678981193505e-05,4.7756122327768935e-05,0.00016252397584537448,6.435531425119656e-05,0.00012419083287285027,0.0,0.00010767745831685716,0.00012515761616382903,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,0,5.333412384913896e-05,3.5609678981193505e-05,2.0475433952782396e-05,nan,1.3642601202068505e-06,1.3340359470870311e-05,nan,3.632490357929896e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,1,5.333412384913896e-05,3.5609678981193505e-05,8.029220964544947e-05,5.981677569266708e-05,1.8883531220814653e-05,5.154976278554102e-05,0.0,3.391776288452775e-05,1.1147787863929894e-06,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,2,5.333412384913896e-05,3.5609678981193505e-05,0.00013951754336005706,0.00021980975300550654,5.130370271566598e-05,0.00010779291256390877,0.0,0.00022076720443209297,3.122181479198183e-05,schwarzschild
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,0,0.0005583992995931349,7.24914805246056e-05,1.3759403820756688e-05,nan,1.968819093201013e-06,6.001601120741995e-06,0.0,7.5088316719984505e-06,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,1,0.0005583992995931349,7.24914805246056e-05,2.8479678384485396e-05,1.4720274563728708e-05,1.3917344548919353e-05,3.765237284747425e-05,0.0,3.538330550867386e-05,2.6166839187991006e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,2,0.0005583992995931349,7.24914805246056e-05,0.00019039761580330605,0.00016191793741882066,8.089729504423548e-05,2.3164092484484478e-05,0.0,1.0253788531144892e-05,9.409446942254542e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,0,0.0005583992995931349,7.24914805246056e-05,3.717011071557863e-05,nan,7.99767470138768e-06,9.330171790722375e-06,0.0,8.64339197477193e-05,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,1,0.0005583992995931349,7.24914805246056e-05,5.857095743522223e-06,4.302720645910085e-05,1.490658671832179e-05,4.3239484422863406e-05,0.0,0.0001082249619841491,4.984491328619001e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,2,0.0005583992995931349,7.24914805246056e-05,0.00022160618051003667,0.0002274632762535589,3.147255795776793e-05,5.479887959047858e-05,0.0,0.00010867874033237968,7.727063097950904e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,0,0.0005583992995931349,7.24914805246056e-05,0.00017761245051417518,nan,8.216863349130854e-05,3.180815557302097e-05,nan,0.00012009199388884895,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,1,0.0005583992995931349,7.24914805246056e-05,3.942489222907852e-05,0.0002170373427432537,1.2301108726520127e-05,3.731424223252233e-05,0.0,1.7828892602267388e-05,0.00019912828153323403,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,2,0.0005583992995931349,7.24914805246056e-05,0.00021106649234781116,0.00017164160011873264,2.9510503042340375e-05,0.00016474238808972252,0.0016666666666667052,0.0004051151709418832,6.506877343448458e-05,sds_L80
