case,observer,pulse,spatial_timing_over_M,spatial_relative_amplitude,spatial_relative_energy,spatial_phase_radians,spatial_focus_width_radians,temporal_timing_over_M,temporal_relative_amplitude,temporal_relative_energy,temporal_phase_radians,temporal_focus_width_radians,angular_timing_over_M,angular_relative_amplitude,angular_relative_energy,angular_phase_radians,angular_focus_width_radians,source_width_timing_over_M,source_width_relative_amplitude,source_width_relative_energy,source_width_phase_radians,source_width_focus_width_radians,estimator_timing_over_M,cadence_timing_over_M,fixed_source_timing_uncertainty_over_M,total_timing_uncertainty_over_M,timing_target_over_M,fixed_source_timing_claim_resolved,timing_claim_resolved
schwarzschild,r8M,0,2.1896535134402484e-05,2.4963745315353947e-07,5.048457794032402e-07,nan,0.0,3.472413902017024e-05,2.920622665936179e-08,1.4535446984931255e-06,nan,0.0,6.695980658832923e-08,6.763059001713145e-10,4.692688460039562e-10,nan,0.0,0.135411366512173,0.31415766988599614,0.6872928410071046,nan,0.14666666666666672,7.555005510084811e-09,0.0005000000000006111,0.0005016823981593226,0.1354122958446635,0.01,True,False
schwarzschild,r8M,1,4.8572296194038245e-06,2.8924704409405422e-08,8.767026216105478e-09,1.1539714020791791e-05,0.0,0.00023200930380085083,2.9543866443271227e-06,1.4453317060958426e-06,7.612900860465288e-05,0.0,3.7383003359536815e-09,1.5390722030161896e-10,3.4019453920564047e-12,2.7869143215397685e-08,0.0,0.20429043285282944,0.3651817524718429,0.7395593012403946,0.01855230611977277,0.22166666666666668,9.325873406851315e-11,0.0005000000000006111,0.0005512276387703411,0.2042911765277839,0.01,True,False
schwarzschild,r8M,2,0.00010654093090067818,1.84405086423034e-06,2.122741069809919e-06,1.3762463817901248e-05,0.0,0.00015202966037008991,1.3033794969974366e-06,1.7110509817896968e-06,5.454624682843523e-05,0.0,1.0637108971423004e-08,1.0977685427349115e-10,2.254196829198918e-12,1.2385557024430227e-09,0.0,0.13514388780556175,0.40107780509640556,0.7403931589297925,0.015666585926431553,0.27,8.424905217907508e-10,0.0005000000000006111,0.0005333516548243728,0.13514494025005142,0.01,True,False
schwarzschild,r8M,3,0.0009262248085377678,1.7291692228638134e-05,5.54746251368865e-06,3.738089848726034e-05,0.0,0.0025985142221713886,6.515216642299926e-06,4.3303361265678575e-06,0.00017473132704859395,0.0,5.8106905953536625e-09,1.5095935612663425e-10,2.341016269724605e-12,2.3226820466959452e-10,0.0,0.22324640788684746,0.3758780055971692,0.7428312058118767,0.032286962833779416,0.2466666666666666,5.182982931728475e-10,0.0005000000000006111,0.0028035992150827202,0.2232640114369969,0.01,True,False
schwarzschild,r12M,0,7.028467470959754e-05,4.4623496897600035e-08,2.0076905959953706e-07,nan,0.0,1.3677750736462713e-06,2.629207962456803e-10,1.4990163467176743e-06,nan,0.0,3.988843388924579e-08,5.304364725233768e-10,4.644633566641687e-10,nan,0.0,0.08994923653896336,0.278288977366115,0.6520071287623784,nan,0.18333333333333346,7.931362233648542e-10,0.0005000000000006111,0.0005049176248656936,0.08995065367050027,0.01,True,False
schwarzschild,r12M,1,3.603071851188133e-05,4.337345482774424e-09,2.4011583388272584e-08,9.440783868441828e-06,0.0,2.6270805683736853e-05,2.3432653073474086e-06,1.4085790835949297e-06,4.104239884950012e-06,0.0,8.578751931054285e-09,3.308900931031644e-10,2.5878299503290236e-11,8.921615002321914e-09,0.0,0.2188928642957393,0.36786065519157307,0.7397125782378189,0.04620019833752065,0.21499999999999986,1.4723369190505764e-09,0.0005000000000006111,0.0005019844300216182,0.2188934398924758,0.01,True,False
schwarzschild,r12M,2,0.0009055058288964801,1.0500016065506657e-06,1.3839391981296245e-06,0.00019219217966459648,0.0016666666666664831,9.058344754464542e-05,1.4123718978797939e-06,1.6691981876704176e-06,1.5350379841683193e-05,0.0,9.55948564751452e-09,1.0204170841632276e-10,3.0698776853910203e-12,3.845843421501627e-09,0.0,0.15119380486397915,0.39950853062747205,0.74020729309202,0.004881602060387458,0.2650000000000001,2.0658958987951337e-09,0.0005000000000006111,0.001038338175755297,0.15119737026619953,0.01,True,False
schwarzschild,r12M,3,0.00035926346649262086,1.4973620302671797e-05,5.011603945725973e-06,5.0363593274260765e-05,0.0,0.0004356385345971603,6.094767998621187e-06,3.1053998981178665e-06,2.8249020247450574e-06,0.0,8.682107477397949e-09,1.5821632892709658e-10,1.0257350524511821e-12,1.4241030577011315e-10,0.0,0.22493157751728177,0.37668252090400556,0.7426716384382762,0.04068431523505822,0.2499999999999999,1.6547829773116973e-09,0.0005000000000006111,0.0007542222293601429,0.2249328420119752,0.01,True,False
schwarzschild,outer,0,7.677618327761593e-07,4.93944662949275e-10,4.744589165994739e-10,nan,nan,5.4694252053621994e-05,1.8540397217492455e-08,1.5336718498515367e-06,nan,nan,5.364373834026992e-09,3.006350723921969e-11,2.1997270671647584e-10,nan,nan,0.06625680055875094,0.26494933144370614,0.6371074788220512,nan,nan,1.1172609504228603e-08,0.0005000000000006111,0.000502983151626525,0.06625870970923686,0.01,True,False
schwarzschild,outer,1,2.4352345207034887e-07,3.208424637080043e-10,1.0443226283740614e-09,7.352598863086257e-09,0.0,4.0602486919283365e-05,1.410884259533951e-06,1.3332242373431669e-06,1.394847994329318e-06,0.0,4.092682814871296e-08,4.464768554868215e-10,1.1075362849055637e-11,1.2948762062592323e-09,0.0,0.240704064114027,0.3752840533096753,0.7405175183028991,0.07281872696789837,0.20166666666666666,1.5213906578992464e-08,0.0005000000000006111,0.0005016459141214863,0.24070458684793022,0.01,True,False
