category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians
spatial,radial_N768,radial_N2048,0,8.0,0,4.310983775708204e-05,4.373303625463283e-05,0.00012617908938850064,nan,2.350121157013163e-06,5.454831089934942e-06,0.0,0.0002562409869426574,nan
spatial,radial_N768,radial_N2048,0,8.0,1,4.310983775708204e-05,4.373303625463283e-05,0.00014341202678735954,1.7232937398858894e-05,2.328797177320041e-07,6.076706889901473e-07,0.0,0.00028751058372478155,8.353203720945501e-07
spatial,radial_N768,radial_N2048,0,8.0,2,4.310983775708204e-05,4.373303625463283e-05,0.0005128830962632946,0.0003694710694759351,1.735790549539651e-05,1.20374320855543e-06,0.0,0.0012006920980596192,0.00016590415002126768
spatial,radial_N768,radial_N2048,0,8.0,3,4.310983775708204e-05,4.373303625463283e-05,0.0013734165831067457,0.0018862996793700404,0.00019792305887267325,2.268502927416094e-05,0.0,0.0028263616107153666,0.0009056061689103334
spatial,radial_N768,radial_N2048,1,12.0,0,4.310983775708204e-05,4.373303625463283e-05,6.106950172579673e-05,nan,9.318690954440711e-07,4.583716742945221e-06,0.0,0.00010975414348024515,nan
spatial,radial_N768,radial_N2048,1,12.0,1,4.310983775708204e-05,4.373303625463283e-05,4.1935489498712286e-05,0.00010300499122450901,4.59431343413641e-07,9.097493434140347e-07,0.0,8.474352129894669e-05,8.782593082234946e-06
spatial,radial_N768,radial_N2048,1,12.0,2,4.310983775708204e-05,4.373303625463283e-05,4.650192013855303e-05,8.843740963726532e-05,1.824312887599433e-05,6.175016186826809e-06,0.0,3.896805288405858e-05,7.166328456076343e-05
spatial,radial_N768,radial_N2048,1,12.0,3,4.310983775708204e-05,4.373303625463283e-05,0.0007086096708519563,0.0006621077507134032,0.0001843273334436457,2.2561950953070564e-05,0.0016666666666667052,0.0014214499188653917,5.637687713533346e-05
spatial,radial_N768,radial_N2048,2,inf,0,4.310983775708204e-05,4.373303625463283e-05,0.00013091208917259678,nan,3.023789120204512e-07,3.4814374738623144e-07,nan,0.0002624364509884458,nan
spatial,radial_N768,radial_N2048,2,inf,1,4.310983775708204e-05,4.373303625463283e-05,1.1183445906226552e-05,0.00011972864326637023,4.2270003175470805e-07,7.548706323357024e-07,0.0,2.1993983928325633e-05,3.7914865791410785e-07
spatial,radial_N768,radial_N2048,2,inf,2,4.310983775708204e-05,4.373303625463283e-05,7.786686805388854e-05,8.905031396011509e-05,1.846328816557108e-05,1.008964191751005e-05,0.0,0.00021044303594663916,8.771358241133065e-05
spatial,radial_N768,radial_N2048,2,inf,3,4.310983775708204e-05,4.373303625463283e-05,3.1027329924882e-05,4.683953812900654e-05,0.00015466864945290482,2.1227043258909006e-05,0.0,0.00017633156637941738,7.63689677092394e-05
spatial,radial_N1024,radial_N2048,0,8.0,0,4.4831955045936925e-05,4.521116250667412e-05,0.00010528708141777088,nan,2.9813718134263922e-06,5.767874082907021e-06,0.0,0.0002121554370830836,nan
spatial,radial_N1024,radial_N2048,0,8.0,1,4.4831955045936925e-05,4.521116250667412e-05,8.029014544774782e-05,2.499693597002306e-05,1.867766385998948e-07,2.0264588529439465e-07,0.0,0.00016016314787492547,1.4951465451495949e-05
spatial,radial_N1024,radial_N2048,0,8.0,2,4.4831955045936925e-05,4.521116250667412e-05,0.0004236838620386152,0.00034339371659086737,2.9376743423847884e-05,1.525959203330096e-05,0.0,0.0007570078970715599,2.6112738369610256e-05
spatial,radial_N1024,radial_N2048,0,8.0,3,4.4831955045936925e-05,4.521116250667412e-05,0.0002496776912437326,0.0006733615532823478,0.00026730495321336534,4.0568603130508585e-05,0.0,0.0005303781539396368,0.0001677496921763666
spatial,radial_N1024,radial_N2048,1,12.0,0,4.4831955045936925e-05,4.521116250667412e-05,7.439670151399014e-05,nan,1.9181928367917322e-07,8.699849844973073e-07,0.0,0.0001440135612682525,nan
spatial,radial_N1024,radial_N2048,1,12.0,1,4.4831955045936925e-05,4.521116250667412e-05,5.184065756225209e-05,0.00012623735907624223,6.974087030098275e-08,1.5060868241434378e-07,0.0,0.00010392224020705498,2.1022575792839504e-05
spatial,radial_N1024,radial_N2048,1,12.0,2,4.4831955045936925e-05,4.521116250667412e-05,0.0007897402561525269,0.0008415809137147789,2.7561099509965103e-05,1.8600917442546105e-05,0.0016666666666664831,0.0016165223995798783,0.0002342841850775379
spatial,radial_N1024,radial_N2048,1,12.0,3,4.4831955045936925e-05,4.521116250667412e-05,0.00033526555517937595,0.0011250058113319028,0.0002458181830176098,3.9239749517139266e-05,0.0,0.0005401526637314191,0.00020799240508062589
spatial,radial_N1024,radial_N2048,2,inf,0,4.4831955045936925e-05,4.521116250667412e-05,4.374646641736035e-05,nan,1.676727856558813e-08,2.3598762610710367e-08,nan,8.754562014345879e-05,nan
spatial,radial_N1024,radial_N2048,2,inf,1,4.4831955045936925e-05,4.521116250667412e-05,2.689502842656566e-05,1.6851437990794693e-05,2.8459909651168402e-08,6.771081817458224e-08,0.0,5.374250000755865e-05,9.667385520994998e-07
spatial,radial_N1024,radial_N2048,2,inf,2,4.4831955045936925e-05,4.521116250667412e-05,0.0004125907411633989,0.00043948576958996455,1.822371341164697e-05,1.7271413129016366e-05,0.0,0.0008487211507812731,0.00019236753898255188
spatial,radial_N1024,radial_N2048,2,inf,3,4.4831955045936925e-05,4.521116250667412e-05,0.0011754432145352212,0.0007628524733718223,0.0002010477891990492,3.6638640087183205e-05,0.0,0.0020775202694380823,0.00017219893018327603
spatial,radial_N1536,radial_N2048,0,8.0,0,3.572936140212912e-06,3.58565739439939e-06,2.1896535134402484e-05,nan,2.4963745315353947e-07,5.048457794032402e-07,0.0,4.3879684618275405e-05,nan
spatial,radial_N1536,radial_N2048,0,8.0,1,3.572936140212912e-06,3.58565739439939e-06,4.8572296194038245e-06,2.675376475380631e-05,2.8924704409405422e-08,8.767026216105478e-09,0.0,9.750728153790078e-06,1.1539714020791791e-05
spatial,radial_N1536,radial_N2048,0,8.0,2,3.572936140212912e-06,3.58565739439939e-06,0.00010654093090067818,0.00010168370128127435,1.84405086423034e-06,2.122741069809919e-06,0.0,0.00020760967587563073,1.3762463817901248e-05
spatial,radial_N1536,radial_N2048,0,8.0,3,3.572936140212912e-06,3.58565739439939e-06,0.0009262248085377678,0.0008196838776370896,1.7291692228638134e-05,5.54746251368865e-06,0.0,0.0018972249323780943,3.738089848726034e-05
spatial,radial_N1536,radial_N2048,1,12.0,0,3.572936140212912e-06,3.58565739439939e-06,7.028467470959754e-05,nan,4.4623496897600035e-08,2.0076905959953706e-07,0.0,0.000141825150446806,nan
spatial,radial_N1536,radial_N2048,1,12.0,1,3.572936140212912e-06,3.58565739439939e-06,3.603071851188133e-05,3.4253956197716207e-05,4.337345482774424e-09,2.4011583388272584e-08,0.0,7.211776690496663e-05,9.440783868441828e-06
spatial,radial_N1536,radial_N2048,1,12.0,2,3.572936140212912e-06,3.58565739439939e-06,0.0009055058288964801,0.0008694751103845988,1.0500016065506657e-06,1.3839391981296245e-06,0.0016666666666664831,0.0018048286430527583,0.00019219217966459648
spatial,radial_N1536,radial_N2048,1,12.0,3,3.572936140212912e-06,3.58565739439939e-06,0.00035926346649262086,0.001264769295389101,1.4973620302671797e-05,5.011603945725973e-06,0.0,0.0006694615230884438,5.0363593274260765e-05
spatial,radial_N1536,radial_N2048,2,inf,0,3.572936140212912e-06,3.58565739439939e-06,7.677618327761593e-07,nan,4.93944662949275e-10,4.744589165994739e-10,nan,1.5212767614514178e-06,nan
spatial,radial_N1536,radial_N2048,2,inf,1,3.572936140212912e-06,3.58565739439939e-06,2.4352345207034887e-07,1.0112852848465081e-06,3.208424637080043e-10,1.0443226283740614e-09,0.0,5.01271216535315e-07,7.352598863086257e-09
spatial,radial_N1536,radial_N2048,2,inf,2,3.572936140212912e-06,3.58565739439939e-06,0.0004638736648558961,0.00046363014140382575,3.2600711485919476e-07,2.681696484874152e-07,0.0,0.0009331177912557109,0.000197071775362323
spatial,radial_N1536,radial_N2048,2,inf,3,3.572936140212912e-06,3.58565739439939e-06,0.00011933292012145102,0.00034454074473444507,1.0503056426247603e-05,4.33588352433123e-06,0.0,0.00018626532776977456,2.214888441853802e-05
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,0,8.569452129421786e-07,7.9080540423626e-07,1.673750940511809e-06,nan,3.892741440303382e-08,7.2558020376423116e-06,0.0,3.328329938767638e-06,nan
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,1,8.569452129421786e-07,7.9080540423626e-07,0.00016197367339998436,0.00016364742434049617,8.836362209607707e-06,7.1312353088215374e-06,0.0,0.0003315401420493913,6.466492771528554e-05
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,2,8.569452129421786e-07,7.9080540423626e-07,6.451067200430316e-06,0.00016842474060041468,3.1424864785911666e-06,7.943011343547468e-06,0.0,1.162521408559769e-05,2.2096188762477095e-05
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,3,8.569452129421786e-07,7.9080540423626e-07,0.0013082144819378527,0.0013017634147374224,1.2200269953743792e-05,1.0916654597181719e-05,0.0,0.0026038441998821327,0.0011473745914138966
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,0,8.569452129421786e-07,7.9080540423626e-07,7.860797566650035e-06,nan,8.984124555411199e-10,7.509986258202872e-06,0.0,1.5710388844070167e-05,nan
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,1,8.569452129421786e-07,7.9080540423626e-07,1.0815557907051243e-05,1.8676355473701278e-05,7.027099294343309e-06,6.975997862590511e-06,0.0,2.782593404049294e-05,3.4745551167336686e-06
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,2,8.569452129421786e-07,7.9080540423626e-07,8.540454906835748e-06,2.275103000215495e-06,3.4793201053595624e-06,7.898793097593781e-06,0.0,1.8467547434397602e-05,1.0626194923979426e-07
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,3,8.569452129421786e-07,7.9080540423626e-07,0.0008318381879348635,0.0008403786428416993,1.0931989192997094e-05,9.515870558751693e-06,0.0,0.0016528688864099195,2.5137632302385526e-06
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,0,8.569452129421786e-07,7.9080540423626e-07,7.89713186861718e-05,nan,3.635884060493311e-08,7.619473122111309e-06,nan,0.0001580657655146922,nan
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,1,8.569452129421786e-07,7.9080540423626e-07,6.090488768961677e-05,0.00013987620637578857,4.250196065203049e-06,6.642632654374481e-06,0.0,0.00011804013278293723,2.143069472215764e-06
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,2,8.569452129421786e-07,7.9080540423626e-07,2.3297790619380976e-05,3.7607097070235795e-05,4.467344459024858e-06,8.072539722903116e-06,0.0,4.488981691963545e-05,1.3007018160315909e-05
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,3,8.569452129421786e-07,7.9080540423626e-07,0.0001918072208866306,0.00016850943026724963,7.043057267952513e-06,8.489031469327557e-06,0.0,0.00037576875222100625,3.030970182393844e-06
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,0,1.965520146397965e-07,1.8117786869348388e-07,3.472413902017024e-05,nan,2.920622665936179e-08,1.4535446984931255e-06,0.0,6.945951772152625e-05,nan
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,1,1.965520146397965e-07,1.8117786869348388e-07,0.00023200930380085083,0.0001972851647806806,2.9543866443271227e-06,1.4453317060958426e-06,0.0,0.00046654441668891877,7.612900860465288e-05
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,2,1.965520146397965e-07,1.8117786869348388e-07,0.00015202966037008991,0.00038403896417094074,1.3033794969974366e-06,1.7110509817896968e-06,0.0,0.00030294435091349214,5.454624682843523e-05
temporal,temporal_dt0.002,temporal_dt0.001,0,8.0,3,1.965520146397965e-07,1.8117786869348388e-07,0.0025985142221713886,0.0024464845618012987,6.515216642299926e-06,4.3303361265678575e-06,0.0,0.005190753339775256,0.00017473132704859395
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,0,1.965520146397965e-07,1.8117786869348388e-07,1.3677750736462713e-06,nan,2.629207962456803e-10,1.4990163467176743e-06,0.0,2.7415578287559583e-06,nan
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,1,1.965520146397965e-07,1.8117786869348388e-07,2.6270805683736853e-05,2.4903030610090582e-05,2.3432653073474086e-06,1.4085790835949297e-06,0.0,5.4601443409296735e-05,4.104239884950012e-06
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,2,1.965520146397965e-07,1.8117786869348388e-07,9.058344754464542e-05,6.431264186090857e-05,1.4123718978797939e-06,1.6691981876704176e-06,0.0,0.00018238609156639995,1.5350379841683193e-05
temporal,temporal_dt0.002,temporal_dt0.001,1,12.0,3,1.965520146397965e-07,1.8117786869348388e-07,0.0004356385345971603,0.00034505508705251486,6.094767998621187e-06,3.1053998981178665e-06,0.0,0.0008767565373659636,2.8249020247450574e-06
temporal,temporal_dt0.002,temporal_dt0.001,2,inf,0,1.965520146397965e-07,1.8117786869348388e-07,5.4694252053621994e-05,nan,1.8540397217492455e-08,1.5336718498515367e-06,nan,0.00010938368772883678,nan
temporal,temporal_dt0.002,temporal_dt0.001,2,inf,1,1.965520146397965e-07,1.8117786869348388e-07,4.0602486919283365e-05,9.529673897290536e-05,1.410884259533951e-06,1.3332242373431669e-06,0.0,7.995982921471523e-05,1.394847994329318e-06
temporal,temporal_dt0.002,temporal_dt0.001,2,inf,2,1.965520146397965e-07,1.8117786869348388e-07,5.8470679071831455e-05,9.907316599111482e-05,1.726856032169266e-06,1.7001552722328839e-06,0.0,0.00011858946661646996,3.9418269878410677e-05
temporal,temporal_dt0.002,temporal_dt0.001,2,inf,3,1.965520146397965e-07,1.8117786869348388e-07,0.0003163918913173802,0.00025792121224554876,4.0849526684594295e-06,2.239249708879676e-06,0.0,0.0006366784166971229,4.7411099797223235e-06
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,0,8.0,0,5.304512824318161e-08,6.626727727460017e-08,1.907150490865206e-07,nan,5.3174319503135337e-08,3.1789004095728046e-08,0.0,8.91484088327843e-07,nan
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,0,8.0,1,5.304512824318161e-08,6.626727727460017e-08,1.2715446473521297e-07,3.1786951382173356e-07,7.84284603927432e-09,4.548161847139909e-10,0.0,2.88195067810193e-08,1.4808111725717057e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,0,8.0,2,5.304512824318161e-08,6.626727727460017e-08,3.964164818626159e-08,1.6679611292147456e-07,3.126903180827867e-10,1.716690456454728e-09,nan,9.02357299992218e-08,1.1639100327975882e-07
angular_width_1,angular_w1p0_lmax19,angular_w1p0_lmax27,0,8.0,3,5.304512824318161e-08,6.626727727460017e-08,1.1236693353566807e-08,2.8404954832694784e-08,9.288110280891715e-10,6.09296169074014e-10,nan,2.521703379443352e-08,1.8317122152389235e-08
