target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
0.0,0,nan,0.0,25.46297734907299,0.19245008972987526,schwarzschild,r8M,0,25.724504846539936,0.0005000000000576892,0.2615274974669468
1.0,1,4.216574797159115,5.815653424378997,45.38284230099172,0.19245008972987526,schwarzschild,r8M,1,45.04762333677603,0.0005000000000006197,-0.33521896421569153
2.0,2,3.19637735199383,5.224599153096068,62.32354688271911,0.19245008972987526,schwarzschild,r8M,2,62.44748275194019,0.0005000000000013209,0.12393586922108568
3.0,3,3.0382585219367106,5.197378372043519,78.6749296016763,0.19245008972987526,schwarzschild,r8M,3,78.35728224682671,0.0005000000000008797,-0.3176473548495835
0.0,0,nan,0.0,25.884419411704297,0.19245008972987526,schwarzschild,r12M,0,26.028168051585283,0.0005000000000012401,0.14374863988098596
1.0,1,4.4565417580639055,6.0025376788937015,45.012307658528066,0.19245008972987526,schwarzschild,r12M,1,44.68510576684881,0.0005000000000027788,-0.32720189167925895
2.0,2,3.224934240155917,5.232688808868385,62.13688243403853,0.19245008972987526,schwarzschild,r12M,2,62.25662148687168,0.000500000000004879,0.11973905283314679
3.0,3,3.0434002535141174,5.197723103149051,78.495956616002,0.19245008972987526,schwarzschild,r12M,3,78.18249030169562,0.0005000000000033493,-0.31346631430638183
0.0,0,nan,0.0,26.61370563888011,0.19245008972987526,schwarzschild,outer,0,26.68367378740899,0.0005000000001254383,0.06996814852887923
1.0,1,5.030894624269974,6.481602785807201,44.09284445615808,0.19245008972987526,schwarzschild,outer,1,43.77919624560769,0.000500000000232074,-0.31364821055039016
2.0,2,3.2886279146315727,5.253616180212156,61.70430515702763,0.19245008972987526,schwarzschild,outer,2,61.80197778642267,0.0005000000000487298,0.09767262939503496
3.0,3,3.0545059243420987,5.1986065027833686,78.08318904581043,0.19245008972987526,schwarzschild,outer,3,77.76435332392963,0.0005000000000511952,-0.3188357218808022
0.0,0,nan,0.0,24.826363713724962,0.1734721666221777,sds_L12,r8M,0,24.97586233152748,0.03826869700421855,0.14949861780251794
1.0,1,4.216574797159116,6.648627105398627,48.81428931910485,0.1734721666221777,sds_L12,r8M,1,48.35107393142929,0.011774797915427194,-0.4632153876755609
2.0,2,3.1963773519938306,5.803529050960765,67.78576519686125,0.1734721666221777,sds_L12,r8M,2,66.34535786313327,0.20425009652480355,-1.4404073337279755
3.0,3,3.0382585219367106,5.766287604392848,85.93299304582148,0.1734721666221777,sds_L12,r8M,3,82.76113453782641,0.807705031204426,-3.1718585079950685
0.0,0,nan,0.0,25.219402967715762,0.1734721666221777,sds_L12,outer,0,25.260278907094495,0.09048098449517787,0.040875939378732795
1.0,1,4.402935030937712,6.866742287836054,48.439938801102606,0.1734721666221777,sds_L12,outer,1,47.8728931769775,0.18739480849504056,-0.5670456241251074
2.0,2,3.2186889646523094,5.812097071365251,67.61562079742609,0.1734721666221777,sds_L12,outer,2,65.94333913400123,0.28272342427615427,-1.6722816634248545
3.0,3,3.0422843517245544,5.766651447850806,85.77098055875634,0.1734721666221777,sds_L12,outer,3,82.39079559005933,1.2528849330686336,-3.3801849686970087
0.0,0,nan,0.0,25.476876981270017,0.18584142981864143,sds_L20,r8M,0,25.71511036578167,0.008756552019874894,0.238233384511652
1.0,1,4.216574797159115,6.078302152206814,46.60083136611874,0.18584142981864143,sds_L20,r8M,1,46.218270233613886,0.021010390296134333,-0.38256113250485413
2.0,2,3.19637735199383,5.412540993856163,64.19506525850136,0.18584142981864143,sds_L20,r8M,2,64.09330300148905,0.2838371550265624,-0.1017622570123109
3.0,3,3.0382585219367106,5.382292957254088,81.12996277213342,0.18584142981864143,sds_L20,r8M,3,80.70282823101861,0.07932983247727488,-0.4271345411148104
0.0,0,nan,0.0,25.921863641392843,0.18584142981864143,sds_L20,r12M,0,26.03754223226523,0.024914135397812273,0.1156785908723883
1.0,1,4.4565417580639055,6.292632511819744,46.1962131760589,0.18584142981864143,sds_L20,r12M,1,45.81194354683672,0.00702687131549786,-0.38426962922217456
2.0,2,3.224934240155917,5.421536976966947,63.998115318785636,0.18584142981864143,sds_L20,r12M,2,63.889268007887196,0.26218448785576753,-0.10884731089844024
3.0,3,3.0434002535141174,5.382675810730422,80.94156043598919,0.18584142981864143,sds_L20,r12M,3,80.51275317831657,0.06342863329569161,-0.4288072576726165
0.0,0,nan,0.0,26.219519353005452,0.18584142981864143,sds_L20,outer,0,26.28239691775276,0.04877739025508024,0.06287756474730699
1.0,1,4.649228005185082,6.473623499923559,45.86363255068249,0.18584142981864143,sds_L20,outer,1,45.47344377312103,0.004457711915101377,-0.3901887775614554
2.0,2,3.246857107214605,5.429067690935019,63.84222860775924,0.18584142981864143,sds_L20,outer,2,63.691997400205665,0.29343829012974826,-0.1502312075535741
3.0,3,3.047279420780557,5.3829947393448405,80.79281275924936,0.18584142981864143,sds_L20,outer,3,80.35891003247723,0.04154164441927583,-0.43390272677213204
0.0,0,nan,0.0,25.57097037876722,0.1908193832843955,sds_L40,r8M,0,25.827556924387444,0.002157330351185624,0.2565865456202232
1.0,1,4.216574797159115,5.8781129224834165,45.77162685496715,0.1908193832843955,sds_L40,r8M,1,45.42200389997397,0.00494813051704404,-0.34962295499317975
2.0,2,3.19637735199383,5.2697441641855,62.868839295417956,0.1908193832843955,sds_L40,r8M,2,62.95587354599921,0.034493367740107396,0.08703425058125447
3.0,3,3.0382585219367106,5.241815417427802,79.36043056701253,0.1908193832843955,sds_L40,r8M,3,79.01482210460007,0.017664297906849393,-0.34560846241245713
0.0,0,nan,0.0,25.99804093835197,0.1908193832843955,sds_L40,r12M,0,26.13536151452403,0.005903898071775186,0.1373205761720584
1.0,1,4.456541758063906,6.071286686681912,45.39312978885597,0.1908193832843955,sds_L40,r12M,1,45.04836497498907,0.0021643050281163066,-0.3447648138669024
