cosmological_length_over_M,width_scale,observer,delay_shift_over_M,difference_from_narrow_over_M
20,1.0,r8M,1.284168905467439,0.11900088496037853
20,1.0,r12M,1.1998303682856388,0.09832585992996457
20,1.0,outer,2.0350813825692065,0.03384080725529515
20,0.7,r8M,1.1732005398896135,0.008032519382553005
20,0.7,r12M,1.1010247750029336,0.0004797333527406522
20,0.7,outer,2.0188486460472035,0.05007354377729811
20,0.5,r8M,1.1651680205070605,0.0
20,0.5,r12M,1.1015045083556743,0.0
20,0.5,outer,2.0689221898245016,0.0
80,1.0,r8M,0.06815118937535658,0.0035461802465661663
80,1.0,r12M,0.06339942177105229,0.0028882812036172822
80,1.0,outer,0.25828075237362924,0.04088055885997832
80,0.7,r8M,0.062243719523166874,0.00236128960562354
80,0.7,r12M,0.05779781734888445,0.0027133232185505562
80,0.7,outer,0.27909722676416493,0.020064084469442633
80,0.5,r8M,0.06460500912879041,0.0
80,0.5,r12M,0.06051114056743501,0.0
80,0.5,outer,0.29916131123360756,0.0
