category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians,case
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,0,5.333412384913896e-05,3.5609678981193505e-05,3.244674623559263e-05,nan,1.2426714944835382e-06,2.3848070714871383e-06,0.0,3.2032708393359144e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,1,5.333412384913896e-05,3.5609678981193505e-05,4.4484266233268954e-05,7.693101246886158e-05,1.6331431638927363e-05,3.905272863036213e-05,0.0,9.956408347733259e-05,6.698223941459247e-05,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,0,8.0,2,5.333412384913896e-05,3.5609678981193505e-05,0.00030768227360056244,0.0003521665398338314,9.996874738060768e-05,0.0001547973517748158,0.0,0.00044032628806434104,0.00015591789253854849,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,0,5.333412384913896e-05,3.5609678981193505e-05,1.1892321051476529e-05,nan,1.9082927820157636e-06,7.84107696349956e-06,0.0,1.8825212713124984e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,1,5.333412384913896e-05,3.5609678981193505e-05,0.00016873848375809075,0.00015684616270661422,1.9757861371094698e-05,5.272638398678975e-05,0.0,0.00010794352216692005,2.2101918344619165e-05,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,1,12.0,2,5.333412384913896e-05,3.5609678981193505e-05,6.083928852262943e-06,0.0001626545549058278,7.608950647264301e-05,0.00012419083287285027,0.0,0.00010767745831685716,0.0001269727549042532,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,0,5.333412384913896e-05,3.5609678981193505e-05,2.30520958410807e-06,nan,4.033716533902165e-06,1.3340359470870311e-05,nan,3.632490357929896e-05,nan,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,1,5.333412384913896e-05,3.5609678981193505e-05,9.725649002945147e-05,9.49512804453434e-05,1.772643298392218e-05,5.154976278554102e-05,0.0,3.391776288452775e-05,5.202558154282499e-07,schwarzschild
cross_code,dedalus_schwarzschild,finite_difference_schwarzschild,2,inf,2,5.333412384913896e-05,3.5609678981193505e-05,0.0002498967850570466,0.00034715327508649807,5.6989402134943745e-05,0.00010779291256390877,0.0,0.00022076720443209297,2.1015928277634544e-05,schwarzschild
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,0,0.0005583992995928223,7.24914805245977e-05,1.7510688458344248e-05,nan,1.8878490450902063e-06,6.001601141947255e-06,0.0,7.508831696867446e-06,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,1,0.0005583992995928223,7.24914805245977e-05,1.0786942624463336e-05,6.723745833880912e-06,1.4016393396820703e-05,3.765237284747425e-05,0.0,3.538330550867386e-05,3.481830906115757e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,0,8.0,2,0.0005583992995928223,7.24914805245977e-05,0.00018527082244901294,0.0001744838798245496,0.0001234446896736241,2.3164092484484478e-05,0.0,1.0253788531144892e-05,9.254033133432316e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,0,0.0005583992995928223,7.24914805245977e-05,8.038684809363872e-05,nan,6.7690470730852326e-06,9.330171790722375e-06,0.0,8.64339197477193e-05,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,1,0.0005583992995928223,7.24914805245977e-05,5.9969972539875016e-05,0.00014035682063351373,1.4638062992955447e-05,4.3239484422863406e-05,0.0,0.0001082249619841491,6.814669134724838e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,1,12.0,2,0.0005583992995928223,7.24914805245977e-05,0.0002759459053294222,0.0003359158778692972,6.005045520951491e-05,5.479887959047858e-05,0.0,0.00010867874033237968,5.3765402457273126e-05,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,0,0.0005583992995928223,7.24914805245977e-05,0.00011756644697769048,nan,0.00011408748397800927,3.180815557302097e-05,nan,0.00012009199337725818,nan,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,1,0.0005583992995928223,7.24914805245977e-05,3.0504160726252394e-05,0.00014807060770394287,1.1399869529693518e-05,3.731424223207824e-05,0.0,1.7828892765692217e-05,0.0002007201404721215,sds_L80
cross_code,dedalus_sds_L80,finite_difference_sds_L80,2,78.98059813298828,2,0.0005583992995928223,7.24914805245977e-05,0.00041362513922393873,0.00038312097849768634,2.0699957220982057e-05,0.00016474238806529762,0.0016666666666667052,0.00040511514467311827,0.00014254037508121267,sds_L80
