cosmological_length_over_M,observer,schwarzschild_delay_over_M,sds_delay_over_M,delay_shift_over_M,primary_estimator,matched_template_delay_shift_over_M,estimator_sensitivity_over_M,output_cadence_over_M,uncertainty_over_M,resolved_at_existing_cadence,M_over_L,M2_over_L2,spatial_D1_error_over_M,temporal_D1_error_over_M,angular_D1_error_over_M,same_L_source_width_D1_sensitivity_over_M,total_primary_D1_uncertainty_over_M,budget_complete,D1_resolved
20.0,r8M,19.32311849396697,20.488286515154044,1.1651680211870747,tapered_analytic_envelope,1.1949147340051667,0.029746712818091936,0.0010000000000012221,nan,True,0.05,0.0025,8.724893958955704e-05,0.0007605811128428286,3.87848189120632e-08,0.008032527144873569,0.008068927335235319,True,True
20.0,r12M,18.65693771492392,19.758442225798316,1.1015045108743955,tapered_analytic_envelope,1.1334226877415432,0.03191817686714771,0.0010000000000012221,nan,True,0.05,0.0025,0.0002233091336911741,0.00018770264022904826,5.6907094148073156e-08,0.0004797322841270102,0.0005614644405578986,True,True
20.0,outer,17.095522460219357,19.164444650672174,2.068922190452817,tapered_analytic_envelope,2.122126603886322,0.05320441343350524,0.0010000000000012221,nan,True,0.05,0.0025,3.295699007210828e-05,0.00051268815572314,5.639489941700049e-08,0.050073540184051524,0.050076175591544696,True,True
40.0,r8M,19.32311849396697,19.590936279454063,0.2678177854870931,tapered_analytic_envelope,0.27483918521378214,0.007021399726689026,0.0010000000000012221,nan,True,0.025,0.000625,nan,nan,nan,nan,nan,False,False
40.0,r12M,18.65693771492392,18.909009237765062,0.25207152284114187,tapered_analytic_envelope,0.26005996756189376,0.007988444720751886,0.0010000000000012221,nan,True,0.025,0.000625,nan,nan,nan,nan,nan,False,False
40.0,outer,17.095522460219357,17.822548553387062,0.7270260931677051,tapered_analytic_envelope,0.7520252154572766,0.024999122289571574,0.0010000000000012221,nan,True,0.025,0.000625,nan,nan,nan,nan,nan,False,False
80.0,r8M,19.32311849396697,19.387723506551886,0.06460501258491647,tapered_analytic_envelope,0.0672028674107068,0.0025978548257903356,0.0010000000000012221,nan,True,0.0125,0.00015625,0.00013077671231442878,0.00047616996740273976,9.153922064797371e-11,0.002361294401953984,0.0024123746887743888,True,True
80.0,r12M,18.65693771492392,18.71744885571674,0.06051114079281916,tapered_analytic_envelope,0.0635780698897328,0.00306692909691364,0.0010000000000012221,nan,True,0.0125,0.00015625,0.0003143952086652746,7.897366727505073e-05,2.148610178664967e-10,0.0027133293293069016,0.0027326246058746594,True,True
80.0,outer,17.095522460219357,17.394683764508166,0.29916130428880905,tapered_analytic_envelope,0.3130076124239025,0.013846308135093466,0.0010000000000012221,nan,True,0.0125,0.00015625,1.2295291195840719e-05,0.00036583562678060844,6.869395363651165e-08,0.020064070023384062,0.02006740872130693,True,True
160.0,r8M,19.32311849396697,19.338451556025635,0.015333062058665803,tapered_analytic_envelope,0.016647263519701028,0.0013142014610352248,0.0010000000000012221,nan,True,0.00625,3.90625e-05,nan,nan,nan,nan,nan,False,False
160.0,r12M,18.65693771492392,18.671575092034555,0.01463737711063473,tapered_analytic_envelope,0.015755394520414967,0.0011180174097802364,0.0010000000000012221,nan,True,0.00625,3.90625e-05,nan,nan,nan,nan,nan,False,False
160.0,outer,17.095522460219357,17.23035006752664,0.13482760730728316,tapered_analytic_envelope,0.14184817882383527,0.00702057151655211,0.0010000000000012221,nan,True,0.00625,3.90625e-05,nan,nan,nan,nan,nan,False,False
