category,setting,reference_setting,observer_index,observer_radius_over_M,pulse,sphere_integrated_relative_l2,off_caustic_relative_l2_at_gamma_pi_over_2,arrival_time_error_over_M,delay_error_over_M,relative_amplitude_error,relative_flux_energy_error,angular_focus_width_error_radians,estimator_timing_systematic_over_M,phase_error_radians
spatial,radial_N768,radial_N2048,0,8.0,0,4.3109368008885935e-05,4.3732306371868454e-05,7.502473005516208e-05,nan,2.4515673004987804e-06,5.456367899725478e-06,0.0,7.696254042244277e-05,nan
spatial,radial_N768,radial_N2048,0,8.0,1,4.3109368008885935e-05,4.3732306371868454e-05,0.0005448807818808632,0.0004698560518257011,2.6511771389348127e-07,6.08006817226503e-07,0.0,0.0005452266338679124,0.00017982543474837076
spatial,radial_N768,radial_N2048,0,8.0,2,4.3109368008885935e-05,4.3732306371868454e-05,0.0005465715847421393,1.6908028612760972e-06,3.056465301398692e-05,1.196806888148494e-06,0.0,0.0006340371012143464,0.00011930070549404094
spatial,radial_N768,radial_N2048,0,8.0,3,4.3109368008885935e-05,4.3732306371868454e-05,0.002785960372420959,0.0033325319571630985,0.00027773566125333105,2.267436224845376e-05,0.0,0.0028257533495121834,0.0001103736226242269
spatial,radial_N768,radial_N2048,1,12.0,0,4.3109368008885935e-05,4.3732306371868454e-05,6.635966695611728e-05,nan,5.975060604068716e-07,4.5876300034386475e-06,0.0,6.017312332673441e-05,nan
spatial,radial_N768,radial_N2048,1,12.0,1,4.3109368008885935e-05,4.3732306371868454e-05,0.0003121074936771606,0.0003784671606332779,4.4160388223968283e-07,9.124830669948736e-07,0.0,0.0003125428903629768,5.4968232950702856e-05
spatial,radial_N768,radial_N2048,1,12.0,2,4.3109368008885935e-05,4.3732306371868454e-05,0.00041748655591788975,0.00010537906224072913,2.72255984073988e-05,6.167670847379014e-06,0.0,0.00048347224092282204,0.00012444307836401158
spatial,radial_N768,radial_N2048,1,12.0,3,4.3109368008885935e-05,4.3732306371868454e-05,0.0014499100908409446,0.0018673966467588343,0.0002589801624164334,2.2540954518035505e-05,0.0016666666666667052,0.0014520513761482334,6.214902885526286e-05
spatial,radial_N768,radial_N2048,2,inf,0,4.3109368008885935e-05,4.3732306371868454e-05,1.2397591891755155e-05,nan,2.9829969472316975e-07,3.5641207352110627e-07,nan,1.2103106559635535e-05,nan
spatial,radial_N768,radial_N2048,2,inf,1,4.3109368008885935e-05,4.3732306371868454e-05,5.810394672067787e-05,7.050153861243302e-05,4.374408472118674e-07,7.546692670779009e-07,0.0,5.790938482874708e-05,1.9818821291872624e-06
spatial,radial_N768,radial_N2048,2,inf,2,4.3109368008885935e-05,4.3732306371868454e-05,6.52358654988916e-05,0.00012333981221956947,2.318025647396471e-05,1.008568304605717e-05,0.0,9.259891259461028e-05,9.984291152664859e-05
spatial,radial_N768,radial_N2048,2,inf,3,4.3109368008885935e-05,4.3732306371868454e-05,0.0001363898764878968,7.11540109890052e-05,0.00021820671724315233,2.1236877790986597e-05,0.0,0.00019352273588424396,7.766274165565969e-05
spatial,radial_N1024,radial_N2048,0,8.0,0,4.483204361014304e-05,4.5211228968744665e-05,0.0001363825216209591,nan,3.001955384052124e-06,5.7685482725000625e-06,0.0,0.0001371686361402169,nan
spatial,radial_N1024,radial_N2048,0,8.0,1,4.483204361014304e-05,4.5211228968744665e-05,0.00024382385810639562,0.00010744133648543652,2.5979269913101177e-07,1.9901432846136657e-07,0.0,0.0002436169855215553,3.578406141824253e-05
spatial,radial_N1024,radial_N2048,0,8.0,2,4.483204361014304e-05,4.5211228968744665e-05,0.0008428842588230623,0.0005990604007166667,3.694596371706105e-05,1.5267529377860356e-05,0.0,0.0007977152212745864,2.0182430989112987e-05
spatial,radial_N1024,radial_N2048,0,8.0,3,4.483204361014304e-05,4.5211228968744665e-05,0.00046814940796480187,0.0013110336667878641,0.00036100158983776165,4.0514461288609915e-05,0.0,0.00048366553829737313,0.0003764817049747293
spatial,radial_N1024,radial_N2048,1,12.0,0,4.483204361014304e-05,4.5211228968744665e-05,0.0001120348069534316,nan,6.690757059502062e-08,8.723059176096726e-07,0.0,0.00010964809430902278,nan
spatial,radial_N1024,radial_N2048,1,12.0,1,4.483204361014304e-05,4.5211228968744665e-05,0.00041777404889842273,0.0005298088558518543,4.5807615145498914e-08,1.5311887757718523e-07,0.0,0.00041789400145120226,8.994541679419044e-05
spatial,radial_N1024,radial_N2048,1,12.0,2,4.483204361014304e-05,4.5211228968744665e-05,0.0002585671824419933,0.000676341231340416,3.201586076340135e-05,1.8600958911374477e-05,0.0,0.00027708362669187636,0.00018503810958692135
spatial,radial_N1024,radial_N2048,1,12.0,3,4.483204361014304e-05,4.5211228968744665e-05,0.0005791239380101842,0.0008376911204521775,0.0003323456198504049,3.926638713092068e-05,0.0,0.0005139454496259077,0.00019607121735742972
spatial,radial_N1024,radial_N2048,2,inf,0,4.483204361014304e-05,4.5211228968744665e-05,0.0002293126880594798,nan,1.880404854048834e-08,2.8620628977904516e-08,nan,0.00022933231298338796,nan
spatial,radial_N1024,radial_N2048,2,inf,1,4.483204361014304e-05,4.5211228968744665e-05,8.683208410786847e-05,0.00031614477216734826,3.3403271149090585e-08,6.938688246194147e-08,0.0,8.68636661977007e-05,2.991864531676214e-06
spatial,radial_N1024,radial_N2048,2,inf,2,4.483204361014304e-05,4.5211228968744665e-05,0.0007866836963970059,0.0006998516122891374,1.9029460921693442e-05,1.7270577417960453e-05,0.0,0.0007984589459724134,0.00030552118627102937
spatial,radial_N1024,radial_N2048,2,inf,3,4.483204361014304e-05,4.5211228968744665e-05,0.0022709412762083048,0.001484257579811299,0.00027307743516835625,3.6639638975266564e-05,0.0,0.0021342399451640404,0.00015313802517913366
spatial,radial_N1536,radial_N2048,0,8.0,0,3.5728856231586537e-06,3.585819707984737e-06,1.7324032988597082e-05,nan,2.5766532996129854e-07,5.03569361987033e-07,0.0,1.7363238953294058e-05,nan
spatial,radial_N1536,radial_N2048,0,8.0,1,3.5728856231586537e-06,3.585819707984737e-06,8.935790998521043e-05,7.203387699661334e-05,6.038472188940602e-08,5.476734066256483e-09,0.0,8.933784216225149e-05,2.7541921528428936e-05
spatial,radial_N1536,radial_N2048,0,8.0,2,3.5728856231586537e-06,3.585819707984737e-06,0.00012710359050771558,0.000216461500492926,1.6924674630658387e-06,2.13012340455343e-06,0.0,0.00012436525752690386,2.9239743342346358e-05
spatial,radial_N1536,radial_N2048,0,8.0,3,3.5728856231586537e-06,3.585819707984737e-06,0.001995923098718322,0.0018688195082106063,1.967629456534059e-05,5.512395658602287e-06,0.0,0.0020183072686705827,0.0008857976015550495
spatial,radial_N1536,radial_N2048,1,12.0,0,3.5728856231586537e-06,3.585819707984737e-06,9.829673427574903e-05,nan,1.106088531876992e-08,2.031231571830716e-07,0.0016666666666665941,9.766398898136686e-05,nan
spatial,radial_N1536,radial_N2048,1,12.0,1,3.5728856231586537e-06,3.585819707984737e-06,0.000296824414334651,0.00019852768005890198,1.8822531089313088e-08,2.4027643208412997e-08,0.0,0.0002967966991533899,2.98236427233034e-05
spatial,radial_N1536,radial_N2048,1,12.0,2,3.5728856231586537e-06,3.585819707984737e-06,0.0005189846598554482,0.0008158090741900992,9.8631216971512e-07,1.3916652850110012e-06,0.0,0.0005158993973708448,0.00016936010054213746
spatial,radial_N1536,radial_N2048,1,12.0,3,3.5728856231586537e-06,3.585819707984737e-06,0.0006633369291364488,0.001182321588991897,1.7198693837428003e-05,5.0410293089830915e-06,0.0,0.0006387729607126857,4.141443651106691e-05
spatial,radial_N1536,radial_N2048,2,inf,0,3.5728856231586537e-06,3.585819707984737e-06,1.3866965655751073e-05,nan,2.5731372588211343e-10,8.524796424325132e-10,nan,1.3879175590147952e-05,nan
spatial,radial_N1536,radial_N2048,2,inf,1,3.5728856231586537e-06,3.585819707984737e-06,2.767817903759351e-07,1.4143747446127009e-05,7.307598970385243e-12,1.0553886653497102e-09,0.0,2.614587373273025e-07,5.564095517662793e-09
spatial,radial_N1536,radial_N2048,2,inf,2,3.5728856231586537e-06,3.585819707984737e-06,0.0005348264612337061,0.0005351032430240821,5.351673879605556e-07,2.686985224320537e-07,0.0,0.0005375168109864603,0.0002266727413706704
spatial,radial_N1536,radial_N2048,2,inf,3,3.5728856231586537e-06,3.585819707984737e-06,0.00022756614110619466,0.0003072603201275115,1.1734721465095355e-05,4.3254365129641315e-06,0.0,0.00020136451409769052,2.0007067056182493e-05
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,0,8.557630133980927e-07,7.923844112357197e-07,1.2464584244753496e-05,nan,5.998862651068748e-08,7.25494068720689e-06,0.0,1.2448998262470923e-05,nan
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,1,8.557630133980927e-07,7.923844112357197e-07,0.0003357478652290524,0.0003482124494738059,1.7622890165158722e-05,7.127817563623573e-06,0.0,0.0003395410537834209,0.00013782704878706475
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,2,8.557630133980927e-07,7.923844112357197e-07,3.865257883717277e-05,0.0003744004440662252,6.324143065672416e-06,7.940719209176272e-06,0.0,3.800908682194404e-05,4.972850086115699e-05
temporal,temporal_dt0.004,temporal_dt0.001,0,8.0,3,8.557630133980927e-07,7.923844112357197e-07,0.002590754250718419,0.002552101671881246,2.4475681967950358e-05,1.0957014287216182e-05,0.0,0.0025844557933396572,0.00017200166594499855
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,0,8.557630133980927e-07,7.923844112357197e-07,1.3025094197871567e-05,nan,1.1089862028690334e-08,7.51161798895339e-06,0.0,1.3026722484710263e-05,nan
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,1,8.557630133980927e-07,7.923844112357197e-07,3.255989959427552e-05,1.9534805396403954e-05,1.4078375937143228e-05,6.976045003548315e-06,0.0,3.5650564633726844e-05,2.76390956910344e-06
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,2,8.557630133980927e-07,7.923844112357197e-07,9.949133357167739e-06,4.250903295144326e-05,6.908208362021995e-06,7.912896240025447e-06,0.0,9.254151848381298e-06,8.391624527925856e-06
temporal,temporal_dt0.004,temporal_dt0.001,1,12.0,3,8.557630133980927e-07,7.923844112357197e-07,0.001610765191230712,0.0016008160578735442,2.205514515174478e-05,9.465181336709705e-06,0.0,0.0016053478966711054,5.584938391978156e-06
temporal,temporal_dt0.004,temporal_dt0.001,2,inf,0,8.557630133980927e-07,7.923844112357197e-07,0.00010978269920158823,nan,6.711523325986235e-08,7.627358396100625e-06,nan,0.00010982816624505176,nan
