target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
0.0,0,nan,0.0,25.46297734907299,0.19245008972987526,schwarzschild,r8M,0,25.724504842762432,0.0005000000000576892,0.2615274936894423
1.0,1,4.216574797159115,5.815653424378997,45.38284230099172,0.19245008972987526,schwarzschild,r8M,1,45.0476233367294,0.0005000000000006197,-0.33521896426231734
2.0,2,3.19637735199383,5.224599153096068,62.32354688271911,0.19245008972987526,schwarzschild,r8M,2,62.44748275236144,0.0005000000000013209,0.12393586964233094
3.0,3,3.0382585219367106,5.197378372043519,78.6749296016763,0.19245008972987526,schwarzschild,r8M,3,78.35728224656756,0.0005000000000008797,-0.31764735510873265
0.0,0,nan,0.0,25.884419411704297,0.19245008972987526,schwarzschild,r12M,0,26.028168051188715,0.0005000000000012401,0.14374863948441785
1.0,1,4.4565417580639055,6.0025376788937015,45.012307658528066,0.19245008972987526,schwarzschild,r12M,1,44.685105766112635,0.0005000000000027788,-0.32720189241543096
2.0,2,3.224934240155917,5.232688808868385,62.13688243403853,0.19245008972987526,schwarzschild,r12M,2,62.25662148790463,0.000500000000004879,0.11973905386609829
3.0,3,3.0434002535141174,5.197723103149051,78.495956616002,0.19245008972987526,schwarzschild,r12M,3,78.18249030086824,0.0005000000000033493,-0.3134663151337662
0.0,0,nan,0.0,26.61370563888011,0.19245008972987526,schwarzschild,outer,0,26.683673792995293,0.0005000000001254383,0.06996815411518398
1.0,1,5.030894624269974,6.481602785807201,44.09284445615808,0.19245008972987526,schwarzschild,outer,1,43.77919625321465,0.000500000000232074,-0.3136482029434333
2.0,2,3.2886279146315727,5.253616180212156,61.70430515702763,0.19245008972987526,schwarzschild,outer,2,61.801977789891055,0.0005000000000487298,0.09767263286342143
3.0,3,3.0545059243420987,5.1986065027833686,78.08318904581043,0.19245008972987526,schwarzschild,outer,3,77.7643533203735,0.0005000000000511952,-0.3188357254369265
0.0,0,nan,0.0,24.826363713724962,0.1734721666221777,sds_L12,r8M,0,24.994995046771276,0.03826869700421855,0.16863133304631361
1.0,1,4.216574797159116,6.648627105398627,48.81428931910485,0.1734721666221777,sds_L12,r8M,1,48.34519184281322,0.011774797915427194,-0.4690974762916298
2.0,2,3.1963773519938306,5.803529050960765,67.78576519686125,0.1734721666221777,sds_L12,r8M,2,66.24323312086874,0.20425009652480355,-1.5425320759925114
3.0,3,3.0382585219367106,5.766287604392848,85.93299304582148,0.1734721666221777,sds_L12,r8M,3,83.16498697604888,0.807705031204426,-2.7680060697725963
0.0,0,nan,0.0,25.219402967715762,0.1734721666221777,sds_L12,outer,0,25.305518708583936,0.09048098449517787,0.08611574086817342
1.0,1,4.402935030937712,6.866742287836054,48.439938801102606,0.1734721666221777,sds_L12,outer,1,47.96659024770398,0.18739480849504056,-0.4733485533986297
2.0,2,3.2186889646523094,5.812097071365251,67.61562079742609,0.1734721666221777,sds_L12,outer,2,66.08470062507503,0.28272342427615427,-1.5309201723510597
3.0,3,3.0422843517245544,5.766651447850806,85.77098055875634,0.1734721666221777,sds_L12,outer,3,83.01723800670877,1.2528849330686336,-2.7537425520475693
0.0,0,nan,0.0,25.476876981270017,0.18584142981864143,sds_L20,r8M,0,25.71948149845172,0.008756552019874894,0.24260451718170373
1.0,1,4.216574797159115,6.078302152206814,46.60083136611874,0.18584142981864143,sds_L20,r8M,1,46.207768013605765,0.021010390296134333,-0.393063352512975
2.0,2,3.19637735199383,5.412540993856163,64.19506525850136,0.18584142981864143,sds_L20,r8M,2,63.95138464417262,0.2838371550265624,-0.24368061432873844
3.0,3,3.0382585219367106,5.382292957254088,81.12996277213342,0.18584142981864143,sds_L20,r8M,3,80.6631641026377,0.07932983247727488,-0.4667986694957307
0.0,0,nan,0.0,25.921863641392843,0.18584142981864143,sds_L20,r12M,0,26.04999679109544,0.024914135397812273,0.12813314970259881
