case,archive,observer_areal_radius_over_M,gamma_degrees,arrival_U_over_M,angular_ell_max,phase_degrees,amplitude,delay_over_M,variance_explained,window_start_U_over_M,window_end_U_over_M
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,0.0,25.800363027390727,50,6.87279687018687e-17,0.9999999999999984,0.0,1.0,17.800363027390727,39.80036302739073
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,30.0,27.80736302738605,50,-0.676046489954644,0.5398001454551608,2.04,0.9819326157141729,19.80736302738605,41.807363027386046
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,60.0,31.577363027393293,50,-0.4214057646306192,0.3099306222533076,5.82,0.9736950164438075,23.577363027393293,45.57736302739329
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,90.0,35.3708630274114,50,-2.0055113807781053,0.22765354544745983,9.6,0.9739592103628089,27.370863027411403,49.3708630274114
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,120.0,38.94286302742846,50,-7.354127960082932,0.19717810479658937,13.1,0.9179350100339886,30.94286302742846,52.94286302742846
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,140.0,41.19486302743921,50,-8.060281117990357,0.1997134304456252,15.38,0.8378186695784994,33.19486302743921,55.19486302743921
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,150.0,42.307863027444526,50,-7.086783512340027,0.2142765920800386,16.54,0.8020689898343616,34.307863027444526,56.307863027444526
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,160.0,43.52936302745036,50,11.008317580704883,0.2606729304508013,18.26,0.8080572409594011,35.52936302745036,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,170.0,45.275363027458695,50,39.5901822313935,0.3955228289969362,19.62,0.9599125270141471,37.275363027458695,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,175.0,45.33136302745896,50,41.19240708831802,0.44518731100392395,19.7,0.9505225230889555,37.33136302745896,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,8.0,180.0,45.338363027458996,50,41.56816990810844,0.46328253067261194,19.72,0.9405844386898686,37.338363027458996,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,0.0,26.096863027390036,50,6.6675849966793145e-15,1.000000000000002,0.0,1.0,18.096863027390036,40.096863027390036
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,30.0,27.47236302738683,50,-0.1911376120727278,0.7973525162057735,1.4000000000000001,0.9920943855566875,19.47236302738683,41.472363027386834
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,60.0,30.73236302738926,50,-0.7500618637647531,0.5660276224268516,4.66,0.9741158489733472,22.73236302738926,44.732363027389255
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,90.0,34.54086302740744,50,-1.9076535732978066,0.4460998486390182,8.46,0.9681394071200157,26.54086302740744,48.54086302740744
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,120.0,38.27786302742528,50,-7.409864771922169,0.39895004737278733,12.120000000000001,0.9178341613958337,30.277863027425283,52.27786302742528
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,140.0,40.64186302743657,50,-7.921400575434213,0.40775671235952315,14.52,0.8327387338309606,32.64186302743657,54.64186302743657
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,150.0,41.80436302744212,50,-7.315812151809872,0.43817833680067303,15.72,0.7967135014689324,33.80436302744212,55.80436302744212
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,160.0,43.055363027448095,50,7.447410774498909,0.528801055733678,17.38,0.7920595862950622,35.055363027448095,57.055363027448095
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,170.0,44.88636302745684,50,39.362872259532494,0.8156008507802217,18.92,0.9584693379132034,36.88636302745684,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,175.0,44.95136302745715,50,40.85837542553083,0.9254563757744474,19.0,0.9545972429382585,36.95136302745715,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,12.0,180.0,44.95936302745719,50,41.20409873611764,0.9657318841530295,19.02,0.9457733515346376,36.95936302745719,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,0.0,26.577363027388916,50,2.2923747236685335e-15,1.0000000000000002,0.0,1.0,18.577363027388916,40.57736302738891
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,30.0,27.452363027386877,50,0.013195299212915842,0.962692516453297,0.86,0.9983662285235527,19.452363027386877,41.45236302738688
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,60.0,29.807863027384844,50,-0.7948807068061376,0.8889543260411303,3.22,0.9867714020215225,21.807863027384844,43.80786302738484
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,90.0,33.18586302740097,50,-1.7171636840707112,0.8345593339665539,6.6000000000000005,0.9705284946798094,25.18586302740097,47.18586302740097
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,120.0,36.973363027419055,50,-7.25774641020976,0.8414102797059809,10.3,0.9089159441888524,28.973363027419055,50.973363027419055
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,140.0,39.4963630274311,50,-8.399465787043413,0.8908937305599784,12.84,0.8261683272745957,31.4963630274311,53.4963630274311
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,150.0,40.74636302743707,50,-8.15199239763922,0.9666915664475635,14.120000000000001,0.7924145770258471,32.74636302743707,54.74636302743707
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,160.0,42.06636302744337,50,2.4857314573344174,1.1551078840834583,15.74,0.7759758982990772,34.06636302744337,56.06636302744337
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,170.0,44.04486302745282,50,40.45081231915712,1.8208118632895178,17.6,0.9520801041100068,36.04486302745282,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,175.0,44.13486302745325,50,42.71790525807377,2.096365907091619,17.7,0.95457843386499,36.13486302745325,57.32086302741175
sds_L80,results/regulator_production_v3/raw/source/fine/sds_L80.npz,78.98059813298828,180.0,44.1458630274533,50,43.101199577177155,2.198012139376295,17.72,0.9463976551421219,36.1458630274533,57.32086302741175
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,0.0,25.72591127773915,50,1.8863000996336865e-14,0.9999999999999979,0.0,1.0,17.72591127773915,39.72591127773915
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,30.0,27.727911277734485,50,-0.43361565910642896,0.5382649313765099,2.04,0.9820638274590926,19.727911277734485,41.727911277734485
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,60.0,31.484411277741764,50,-0.25310842358008034,0.30862670696108196,5.8,0.9741470256299716,23.484411277741764,45.48441127774176
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,90.0,35.26441127775981,50,-1.2723481233175689,0.22654238420267112,9.58,0.9749061847972825,27.264411277759812,49.26441127775981
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,120.0,38.82491127777681,50,-6.764380864445165,0.1960609759919167,13.06,0.9187948022898125,30.824911277776813,52.82491127777681
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,140.0,41.06941127778753,50,-7.208576952356566,0.19859651724673763,15.34,0.8363640208945633,33.06941127778753,55.06941127778753
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,150.0,42.178411277792826,50,-6.127627678497308,0.213116056025982,16.5,0.799638557261923,34.178411277792826,56.178411277792826
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,160.0,43.39791127779865,50,12.080466479395799,0.2597451823814549,18.22,0.8061729351678837,35.39791127779865,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,170.0,45.139911277806966,50,40.224855966170225,0.39473256768301945,19.56,0.9596234062727995,37.139911277806966,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,175.0,45.193911277807224,50,41.83818047633465,0.444273309075316,19.64,0.9502418820365283,37.193911277807224,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,8.0,180.0,45.19991127780725,50,42.218065626263446,0.4623215190299521,19.66,0.9403397284898597,37.19991127780725,57.22741127776022
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,0.0,26.027411277738448,50,2.2732638867701738e-15,1.0000000000000036,0.0,1.0,18.027411277738448,40.02741127773845
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,30.0,27.39891127773525,50,-0.7531762707790196,0.7954493267547575,1.3800000000000001,0.9920931903898325,19.39891127773525,41.39891127773525
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,60.0,30.649411277737777,50,-0.23046234853866682,0.5632764064280287,4.66,0.9744347183444605,22.649411277737777,44.64941127773778
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,90.0,34.44341127775589,50,-1.4477171752475848,0.44335965390509596,8.44,0.9690730550792668,26.443411277755892,48.44341127775589
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,120.0,38.16641127777367,50,-7.037931281006244,0.3959367007966478,12.08,0.9193952027187925,30.16641127777367,52.16641127777367
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,140.0,40.52241127778492,50,-7.234685308196451,0.40492132105807876,14.48,0.8310894155689247,32.52241127778492,54.52241127778492
schwarzschild,results/regulator_production_v3/raw/source/fine/schwarzschild.npz,12.0,150.0,41.68041127779045,50,-6.496757969715505,0.4353115055606544,15.68,0.7939780969434109,33.68041127779045,55.68041127779045
