family,envelope_width_over_M,rate_fit_width_over_M,candidate_start_U_over_M,candidate_end_U_over_M,candidate_duration_over_M,passes_price_criterion
schwarzschild,5.0,30.0,146.5274112776607,982.527411287662,836.0000000100013,True
schwarzschild,5.0,40.0,149.42741127765805,977.5274112875528,828.1000000098948,True
schwarzschild,5.0,60.0,139.97741127766665,967.5274112873345,827.5500000096679,True
schwarzschild,10.0,30.0,146.47741127766074,980.0274112876074,833.5500000099466,True
schwarzschild,10.0,40.0,140.37741127766628,975.0274112874982,834.650000009832,True
schwarzschild,10.0,60.0,140.87741127766583,965.02741128728,824.1500000096141,True
schwarzschild,20.0,30.0,133.17741127767283,975.0274112874982,841.8500000098254,True
schwarzschild,20.0,40.0,137.42741127766897,970.0274112873891,832.6000000097201,True
schwarzschild,20.0,60.0,144.62741127766242,960.0274112871708,815.4000000095084,True
uniform_xi0,5.0,30.0,150.23980375646767,158.8898037564598,8.649999999992133,False
uniform_xi0,5.0,40.0,155.73980375646266,162.93980375645612,7.199999999993452,False
uniform_xi0,5.0,60.0,142.78980375647444,152.9398037564652,10.149999999990769,False
uniform_xi0,10.0,30.0,151.6398037564664,159.03980375645966,7.39999999999327,False
uniform_xi0,10.0,40.0,134.489803756482,144.08980375647326,9.599999999991269,False
uniform_xi0,10.0,60.0,144.6898037564727,153.08980375646507,8.39999999999236,False
uniform_xi0,20.0,30.0,135.53980375648104,142.68980375647453,7.149999999993497,False
uniform_xi0,20.0,40.0,140.88980375647617,146.98980375647062,6.099999999994452,False
uniform_xi0,20.0,60.0,nan,nan,nan,False
exterior_xi0,5.0,30.0,292.6899347238932,304.5899347238824,11.899999999989177,False
exterior_xi0,5.0,40.0,292.7899347238931,304.6899347238823,11.899999999989177,False
exterior_xi0,5.0,60.0,293.0399347238929,304.93993472388206,11.899999999989177,False
exterior_xi0,10.0,30.0,292.7899347238931,304.6899347238823,11.899999999989177,False
exterior_xi0,10.0,40.0,292.889934723893,304.7899347238822,11.899999999989177,False
exterior_xi0,10.0,60.0,293.1399347238928,305.03993472388197,11.899999999989177,False
exterior_xi0,20.0,30.0,293.18993472389275,305.1399347238819,11.949999999989132,False
exterior_xi0,20.0,40.0,293.28993472389266,305.2399347238818,11.949999999989132,False
exterior_xi0,20.0,60.0,293.4899347238925,305.4399347238816,11.949999999989132,False
uniform_xi1o6,5.0,30.0,148.28980375646944,296.3398037563348,148.04999999986535,True
uniform_xi1o6,5.0,40.0,152.7398037564654,296.4398037563347,143.6999999998693,True
uniform_xi1o6,5.0,60.0,160.28980375645853,296.7898037563344,136.49999999987585,True
uniform_xi1o6,10.0,30.0,148.9898037564688,294.6898037563363,145.6999999998675,True
uniform_xi1o6,10.0,40.0,153.2898037564649,294.83980375633615,141.54999999987126,True
uniform_xi1o6,10.0,60.0,159.63980375645912,295.18980375633583,135.54999999987672,True
uniform_xi1o6,20.0,30.0,153.03980375646512,287.78980375634256,134.74999999987745,True
uniform_xi1o6,20.0,40.0,156.7898037564617,287.8898037563425,131.09999999988077,True
uniform_xi1o6,20.0,60.0,147.9898037564697,288.1898037563422,140.1999999998725,True
exterior_xi1o6,5.0,30.0,437.08993472376187,446.58993472375323,9.49999999999136,False
exterior_xi1o6,5.0,40.0,618.489934726081,627.789934726284,9.300000000203,False
exterior_xi1o6,5.0,60.0,620.3399347261213,631.0399347263549,10.700000000233558,False
exterior_xi1o6,10.0,30.0,437.1399347237618,446.58993472375323,9.449999999991405,False
exterior_xi1o6,10.0,40.0,618.6899347260853,628.0399347262894,9.35000000020409,False
exterior_xi1o6,10.0,60.0,620.4899347261246,631.2899347263603,10.800000000235741,False
exterior_xi1o6,20.0,30.0,437.1899347237618,446.58993472375323,9.39999999999145,False
exterior_xi1o6,20.0,40.0,619.4399347261017,629.0399347263112,9.600000000209548,False
exterior_xi1o6,20.0,60.0,621.239934726141,632.4899347263865,11.250000000245564,False
