family,curvature_coupling,start_U_over_M,end_U_over_M,delta_1536_2048_relative_L2,delta_2048_3072_relative_L2,delta_dt_0p0025_0p00125_at_N2048_relative_L2
schwarzschild,0.0,160.0,220.0,2.6644556107885796e-05,1.6143815214353622e-06,3.474742716842007e-08
schwarzschild,0.0,220.0,300.0,8.321396355233202e-05,5.0647704405137514e-06,3.397367949417322e-08
schwarzschild,0.0,300.0,500.0,0.0003394507286156886,2.0834766038690452e-05,3.3239714053766495e-08
schwarzschild,0.0,500.0,750.0,0.0017736733568396994,0.00011049769047924718,2.893340565323088e-08
schwarzschild,0.0,750.0,950.0,0.005680927616297385,0.0003594716188236446,1.1596891944757497e-08
schwarzschild,0.0,950.0,1000.0,0.009393671335874673,0.0006041833851305025,2.1976784571367735e-08
uniform_xi0,0.0,160.0,220.0,6.650918140002458e-05,6.61919239176451e-06,3.0692520301641576e-08
uniform_xi0,0.0,220.0,300.0,0.00027257923417603756,2.7165079779032462e-05,2.251132119268642e-08
uniform_xi0,0.0,300.0,500.0,0.0017708809808338298,0.00017673627067494788,3.5397366799679034e-08
uniform_xi0,0.0,500.0,750.0,0.030333413884610815,0.003035628076615987,8.160707905074629e-07
uniform_xi0,0.0,750.0,950.0,0.13481654744669216,0.013306426981281974,3.8039541525650837e-06
uniform_xi0,0.0,950.0,1000.0,0.12864381617326584,0.012691044030175137,3.7548417271848767e-06
exterior_xi0,0.0,160.0,220.0,3.841584179319013e-06,3.467638535083846e-07,3.199400816229889e-08
exterior_xi0,0.0,220.0,300.0,7.869808070823378e-06,7.275349624736102e-07,3.192383774732888e-08
exterior_xi0,0.0,300.0,500.0,2.569439745639086e-05,2.411820731917796e-06,3.10866638774126e-08
exterior_xi0,0.0,500.0,750.0,4.0157437951324865e-05,3.796622009062265e-06,3.0109392164644704e-08
exterior_xi0,0.0,750.0,950.0,0.0003041327070703331,2.9700084344629046e-05,3.541256745466022e-08
exterior_xi0,0.0,950.0,1000.0,0.0007689825602261607,7.981946154606263e-05,1.1907561016944827e-08
uniform_xi1o6,0.16666666666666666,160.0,220.0,5.359810628687661e-05,5.388193964817256e-06,3.078044974907912e-08
uniform_xi1o6,0.16666666666666666,220.0,300.0,0.00019740858368649296,1.995406281204901e-05,2.3921783394506543e-08
uniform_xi1o6,0.16666666666666666,300.0,500.0,0.001034623778614485,0.00010562607521212828,2.080921853356512e-08
uniform_xi1o6,0.16666666666666666,500.0,750.0,0.00799218159987668,0.000827539583687016,2.6643800488322884e-07
uniform_xi1o6,0.16666666666666666,750.0,950.0,0.03820292551218531,0.004019983542192984,1.4978477616448748e-06
uniform_xi1o6,0.16666666666666666,950.0,1000.0,0.0815358223867828,0.008665091686318868,3.447984218832448e-06
exterior_xi1o6,0.16666666666666666,160.0,220.0,7.017312205275285e-05,9.344872568104696e-06,3.2888895061229015e-08
exterior_xi1o6,0.16666666666666666,220.0,300.0,0.00013160461393290645,1.774331674070257e-05,3.236213753725825e-08
exterior_xi1o6,0.16666666666666666,300.0,500.0,0.0003230065455526432,4.276647151023888e-05,3.399418463447232e-08
exterior_xi1o6,0.16666666666666666,500.0,750.0,0.00023885604867402216,3.144900887426045e-05,3.195858465885214e-08
exterior_xi1o6,0.16666666666666666,750.0,950.0,0.000995012494947056,0.00013373341767111677,3.195393327254803e-08
exterior_xi1o6,0.16666666666666666,950.0,1000.0,0.0076777896321745705,0.0010338169716153079,1.929357817570859e-08
