cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,coarse_resolution,medium_resolution,fine_resolution,coarse_medium_candidate_E2,medium_fine_candidate_E2,successive_changes_decrease,observed_coupled_order,richardson_fine_E2,estimated_fine_numerical_E2,conservative_numerical_E2,refinement_status,difference_definition
80,prompt_and_early_ringdown,cumulative,0.0,40.0,384,512,768,0.0003360575392851763,6.832518740239832e-05,True,5.906842422772254,6.8541772622548505e-06,6.8541772622548505e-06,6.832518740239832e-05,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
80,radiative_signal,cumulative,0.0,80.0,384,512,768,0.0019309898430088868,0.00013058155318527398,True,9.522011326843666,2.8078794739212913e-06,2.8078794739212913e-06,0.00013058155318527398,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
80,qnm_early,qnm_window_sensitivity,10.0,40.0,384,512,768,0.0005050125466823525,0.00010605435787886279,True,5.802951367526925,1.1144890729523118e-05,1.1144890729523118e-05,0.00010605435787886279,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
80,qnm_central,qnm_window_sensitivity,15.0,45.0,384,512,768,0.0011450647697413537,0.0001777973048163557,True,6.777889813142677,1.2165842969546071e-05,1.2165842969546071e-05,0.0001777973048163557,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
80,qnm_late,qnm_window_sensitivity,20.0,50.0,384,512,768,0.0019391108883750582,0.00026645426196498286,True,7.176116782772188,1.5357019487092484e-05,1.5357019487092484e-05,0.00026645426196498286,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
80,early_ringdown,disjoint,40.0,80.0,384,512,768,0.03969061027938658,0.0023229803503261683,True,10.006417991264133,4.088653183845772e-05,4.088653183845772e-05,0.0023229803503261683,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
160,prompt_and_early_ringdown,cumulative,0.0,40.0,768,1024,1536,6.032043136530854e-05,1.7448780637968665e-05,True,4.783980450775965,2.929160449284191e-06,2.929160449284191e-06,1.7448780637968665e-05,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
160,radiative_signal,cumulative,0.0,80.0,768,1024,1536,0.0002744071166897945,0.00010029637490601678,True,4.050124783324971,2.4072426987205785e-05,2.4072426987205785e-05,0.00010029637490601678,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
160,qnm_early,qnm_window_sensitivity,10.0,40.0,768,1024,1536,9.32666628993057e-05,2.7015693292838064e-05,True,4.779699380230729,4.544380996438786e-06,4.544380996438786e-06,2.7015693292838064e-05,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
160,qnm_central,qnm_window_sensitivity,15.0,45.0,768,1024,1536,0.00017435715853286312,5.210817173405075e-05,True,4.681110251436761,9.185754728326792e-06,9.185754728326792e-06,5.210817173405075e-05,monotone_three_grid_sequence,candidate waveforms only; frozen controls are not paired to candidate refinement levels
