cosmological_length_over_M,refinement_level,resolution,window,window_family,window_start_U_over_M,window_end_U_over_M,reference_l2,difference_l2,E2,difference_linf_absolute,Einf,reference,raw_unshifted,amplitude_rescaling_fitted,time_dilation_fitted,background_transfer_correction_used
80,coarse,384,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.09794427833748043,0.09633165230132808,0.03512726673290509,0.09910927551390879,frozen_fine_Schwarzschild,True,False,False,False
80,coarse,384,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.09803557496714245,0.0963097258428548,0.03512726673290509,0.09910927551390879,frozen_fine_Schwarzschild,True,False,False,False
80,coarse,384,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.07223689400994159,0.11046627504891642,0.03512726673290509,0.12375962943495061,frozen_fine_Schwarzschild,True,False,False,False
80,coarse,384,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.047980801212331003,0.1084113393874896,0.022194223050674186,0.09339531747154561,frozen_fine_Schwarzschild,True,False,False,False
80,coarse,384,qnm_late,qnm_window_sensitivity,20.0,50.0,0.33399044929442584,0.02570269062770029,0.07695636411759292,0.011523180318552598,0.06550905670861693,frozen_fine_Schwarzschild,True,False,False,False
80,coarse,384,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,0.004221439825948892,0.08656375790494909,0.0015289671768265942,0.05651715389359201,frozen_fine_Schwarzschild,True,False,False,False
80,medium,512,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.0979430388331927,0.096330433205143,0.03515282142057579,0.09918137638643852,frozen_fine_Schwarzschild,True,False,False,False
80,medium,512,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.09801464215032052,0.09628916153393005,0.03515282142057579,0.09918137638643852,frozen_fine_Schwarzschild,True,False,False,False
80,medium,512,qnm_early,qnm_window_sensitivity,10.0,40.0,0.6539271282384946,0.0722511028213523,0.11048800348133211,0.03515282142057579,0.12384966316004797,frozen_fine_Schwarzschild,True,False,False,False
80,medium,512,qnm_central,qnm_window_sensitivity,15.0,45.0,0.44258102043030256,0.047964012993163746,0.10837340685447919,0.022192278106983657,0.09338713297087503,frozen_fine_Schwarzschild,True,False,False,False
