background_family,window,window_family,threshold_fraction,smallest_tested_L_over_M,status,criterion
uniform_sds,prompt_and_early_ringdown,cumulative,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,prompt_and_early_ringdown,cumulative,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,prompt_and_early_ringdown,cumulative,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,prompt_and_early_ringdown,cumulative,0.05,160,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,prompt_and_early_ringdown,cumulative,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,prompt_and_early_ringdown,cumulative,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,radiative_signal,cumulative,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,radiative_signal,cumulative,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,radiative_signal,cumulative,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,radiative_signal,cumulative,0.05,160,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,radiative_signal,cumulative,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,radiative_signal,cumulative,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_early,qnm_window_sensitivity,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_early,qnm_window_sensitivity,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_early,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_early,qnm_window_sensitivity,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_early,qnm_window_sensitivity,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_early,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_central,qnm_window_sensitivity,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_central,qnm_window_sensitivity,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_central,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_central,qnm_window_sensitivity,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_central,qnm_window_sensitivity,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_central,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_late,qnm_window_sensitivity,0.05,160,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_late,qnm_window_sensitivity,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,qnm_late,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_late,qnm_window_sensitivity,0.05,160,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_late,qnm_window_sensitivity,0.02,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,qnm_late,qnm_window_sensitivity,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,early_ringdown,disjoint,0.05,320,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,early_ringdown,disjoint,0.02,640,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
uniform_sds,early_ringdown,disjoint,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,early_ringdown,disjoint,0.05,160,attained_with_numerical_margin,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,early_ringdown,disjoint,0.02,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
exterior_sds,early_ringdown,disjoint,0.01,,not_attained_through_L640,raw E2 + family numerical scale + Schwarzschild medium-fine reference floor <= threshold
