cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,coarse_resolution,medium_resolution,fine_resolution,coarse_medium_paired_E2,medium_fine_paired_E2,successive_changes_decrease,observed_coupled_order,richardson_fine_E2,estimated_fine_numerical_E2,conservative_numerical_E2,refinement_status,difference_definition
80,prompt_and_early_ringdown,cumulative,0.0,40.0,384,512,768,0.00043807383961904874,0.00028654364547767906,True,2.2648680406367676,0.0001903829678030741,0.0001903829678030741,0.00028654364547767906,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
80,radiative_signal,cumulative,0.0,80.0,384,512,768,0.0014110230473534237,0.0006891569149265641,True,3.153549959766734,0.0002658985856823661,0.0002658985856823661,0.0006891569149265641,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
80,qnm_early,qnm_window_sensitivity,10.0,40.0,384,512,768,0.0006794276988861931,0.00043607498169862826,True,2.322036703077807,0.0002788494289179715,0.0002788494289179715,0.00043607498169862826,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
80,qnm_central,qnm_window_sensitivity,15.0,45.0,384,512,768,0.0012413187885438345,0.0007555757406418535,True,2.4823860713627104,0.00043522306267002254,0.00043522306267002254,0.0007555757406418535,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
80,qnm_late,qnm_window_sensitivity,20.0,50.0,384,512,768,0.0019406024313837968,0.0010891210823010073,True,2.728881275460773,0.0005381952187588687,0.0005381952187588687,0.0010891210823010073,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
80,early_ringdown,disjoint,40.0,80.0,384,512,768,0.02799750830383912,0.013082324782786342,True,3.289479931543924,0.0046800774135971395,0.0046800774135971395,0.013082324782786342,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
160,prompt_and_early_ringdown,cumulative,0.0,40.0,384,512,768,0.0003564530519462855,0.00017987133678959452,True,3.053505817208313,7.344625753126678e-05,7.344625753126678e-05,0.00017987133678959452,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
160,radiative_signal,cumulative,0.0,80.0,384,512,768,0.001167812304617896,0.00040989669647715766,True,4.176526448949615,9.235791812638618e-05,9.235791812638618e-05,0.00040989669647715766,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
160,qnm_early,qnm_window_sensitivity,10.0,40.0,384,512,768,0.0005528807583106571,0.0002723745454411624,True,3.1270590632822217,0.00010667006450384546,0.00010667006450384546,0.0002723745454411624,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
160,qnm_central,qnm_window_sensitivity,15.0,45.0,384,512,768,0.0009974961863622371,0.0004719116214868587,True,3.251366043056341,0.00017241168743272226,0.00017241168743272226,0.0004719116214868587,monotone_three_grid_sequence,level-matched uniform-SdS minus Schwarzschild residuals
