cosmological_length_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,uniform_sds_E2,exterior_sds_E2,uniform_sds_Einf,exterior_sds_Einf,uniform_conservative_numerical_E2,exterior_conservative_numerical_E2,schwarzschild_reference_floor_E2,uniform_conservative_direct_upper_E2,exterior_conservative_direct_upper_E2,uniform_within_5_percent_with_margin,uniform_within_2_percent_with_margin,uniform_within_1_percent_with_margin,exterior_within_5_percent_with_margin,exterior_within_2_percent_with_margin,exterior_within_1_percent_with_margin,central_improvement_factor,central_relative_reduction_fraction,exterior_upper_E2,uniform_lower_E2,upper_to_lower_ratio,resolved_improvement_with_numerical_margins,resolved_reduction_at_least_25_percent,substantial_reduction_definition,reference_floor_not_double_counted_in_improvement,raw_unshifted,time_translation_fitted,amplitude_rescaling_fitted,time_dilation_fitted,background_transfer_correction_used
80,prompt_and_early_ringdown,cumulative,0.0,40.0,0.1174274607026212,0.09632877971778311,0.11960560431872998,0.09917254200610393,0.00028654364547767906,6.832518740239832e-05,0.00010364405956172328,0.1178176484076606,0.09650074896474722,False,False,False,False,False,False,1.2190278029748889,0.1796741652982633,0.09639710490518551,0.11714091705714351,0.8229157439339596,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
80,radiative_signal,cumulative,0.0,80.0,0.11745799750235766,0.09628779224253274,0.11960560431872998,0.09917254200610393,0.0006891569149265641,0.00013058155318527398,0.00021368878527735417,0.11836084320256159,0.09663206258099538,False,False,False,False,False,False,1.2198638557056198,0.1802363884110998,0.09641837379571802,0.1167688405874311,0.8257200577711004,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
80,qnm_early,qnm_window_sensitivity,10.0,40.0,0.13959474631288096,0.11048815802415288,0.14935378340801234,0.12383863150200358,0.00043607498169862826,0.00010605435787886279,0.00015562285564365828,0.14018644415022324,0.1107498352376754,False,False,False,False,False,False,1.2634362705401003,0.20850776306072416,0.11059421238203174,0.13915867133118234,0.7947346099534801,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
80,qnm_central,qnm_window_sensitivity,15.0,45.0,0.14593130117713546,0.10839469594740113,0.12244514850901299,0.0934219828577061,0.0007555757406418535,0.0001777973048163557,0.00026961075453417216,0.14695648767231148,0.10884210400675166,False,False,False,False,False,False,1.3462955904036955,0.25722106859152416,0.10857249325221749,0.1451757254364936,0.7478694728459407,True,True,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
80,qnm_late,qnm_window_sensitivity,20.0,50.0,0.11020672280421996,0.07690711019530709,0.09324239395307816,0.06530448750320397,0.0010891210823010073,0.00026645426196498286,0.0003726231497999733,0.11166846703632094,0.07754618760707203,False,False,False,False,False,False,1.4329848374792378,0.3021559099263751,0.07717356445727207,0.10911760172191895,0.7072512888795452,True,True,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
80,early_ringdown,disjoint,40.0,80.0,0.13036446340288402,0.07679740406426346,0.107485616433662,0.0628509443762185,0.013082324782786342,0.0023229803503261683,0.0039002798549692816,0.14734706804063963,0.08302066426955891,False,False,False,False,False,False,1.6975113285573569,0.410902311414995,0.07912038441458963,0.11728213862009768,0.6746158054883169,True,True,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
160,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0557452516978229,0.04789483514346279,0.057456057069772165,0.04964480231672524,0.00017987133678959452,1.7448780637968665e-05,0.00010364405956172328,0.05602876709417422,0.04801592798366248,False,False,False,True,False,False,1.1639094597746333,0.14082664110864007,0.047912283924100754,0.055565380361033305,0.8622686214472585,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
160,radiative_signal,cumulative,0.0,80.0,0.055740576378180626,0.04787529951266748,0.057456057069772165,0.04964480231672524,0.00040989669647715766,0.00010029637490601678,0.00021368878527735417,0.05636416185993514,0.04818928467285085,False,False,False,True,False,False,1.164286739625139,0.14110505087263447,0.0479755958875735,0.055330679681703465,0.8670704239232015,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
160,qnm_early,qnm_window_sensitivity,10.0,40.0,0.06521258900701819,0.05502379943291917,0.07174646666396499,0.0619924049109516,0.0002723745454411624,2.7015693292838064e-05,0.00015562285564365828,0.06564058640810301,0.05520643798185567,False,False,False,False,False,False,1.1851705930725562,0.15623961154191413,0.05505081512621201,0.06494021446157704,0.847715326822392,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
160,qnm_central,qnm_window_sensitivity,15.0,45.0,0.0667918198822167,0.054458883803754625,0.056802491421849406,0.046945846609076254,0.0004719116214868587,5.210817173405075e-05,0.00026961075453417216,0.06753334225823773,0.05478060273002285,False,False,False,False,False,False,1.2264632547906131,0.18464740293362958,0.05451099197548868,0.06631990826072985,0.8219400992109995,True,False,exterior E2 plus its numerical scale <= 0.75 times uniform E2 minus its numerical scale,True,True,False,False,False,False
