ladder,parameter,relative_difference_to_finest,maximum_constraint
radial,512,5.2279794812028095e-05,5.84016834892509e-10
radial,768,7.179083237604598e-07,8.387921468511195e-10
radial,1024,1.2588994915012905e-06,1.2794334480759062e-09
timestep,0.004,1.2440546421515533e-11,9.119323074457952e-10
timestep,0.002,1.854249129615582e-11,1.2794334480759062e-09
angular,8,0.007149216201797869,9.119323074457952e-10
angular,12,0.00036309773698964585,9.119323074457952e-10
angular,16,5.258985580513195e-06,9.119323074457952e-10
stencil,6,2.9383789508696707e-07,4.3205694577608256e-10
production,schwarzschild,,9.119323074457952e-10
production,sds_L20,,2.7174138494956424e-09
production,sds_L40,,1.756738754465914e-09
production,sds_L80,,6.8089534011051e-10
production,sds_L160,,5.176445938559482e-10
