target_angle_over_pi,winding,turning_radius_over_M,impact_parameter_over_M,predicted_U_over_M,Omega_ph_M,case,observer,pulse,measured_U_over_M,measurement_uncertainty_over_M,simulation_minus_ray_over_M
0.0,0,nan,0.0,25.46297734907299,0.19245008972987526,schwarzschild,r8M,0,26.255506891843098,0.05000000000023875,0.792529542770108
1.0,1,4.216574797159115,5.815653424378997,45.38284230099172,0.19245008972987526,schwarzschild,r8M,1,44.18674245839364,0.05000000000024121,-1.1960998425980804
2.0,2,3.19637735199383,5.224599153096068,62.32354688271911,0.19245008972987526,schwarzschild,r8M,2,63.13100081912561,0.05000000000023875,0.8074539364065032
3.0,3,3.0382585219367106,5.197378372043519,78.6749296016763,0.19245008972987526,schwarzschild,r8M,3,77.455867179422,0.05000000000023879,-1.2190624222542965
0.0,0,nan,0.0,25.476876981270017,0.18584142981864143,sds_L20,r8M,0,26.19681979840899,0.10698153646201673,0.7199428171389712
1.0,1,4.216574797159115,6.078302152206814,46.60083136611874,0.18584142981864143,sds_L20,r8M,1,45.464984814486655,0.050749489874655024,-1.1358465516320848
2.0,2,3.19637735199383,5.412540993856163,64.19506525850136,0.18584142981864143,sds_L20,r8M,2,62.65711096521264,2.7697082262167116,-1.5379542932887205
3.0,3,3.0382585219367106,5.382292957254088,81.12996277213342,0.18584142981864143,sds_L20,r8M,3,79.8934881194302,0.25864359183144675,-1.2364746527032224
0.0,0,nan,0.0,25.57097037876722,0.1908193832843955,sds_L40,r8M,0,26.35566654861541,0.05109553095359683,0.7846961698481891
1.0,1,4.216574797159115,5.8781129224834165,45.77162685496715,0.1908193832843955,sds_L40,r8M,1,44.57828990630317,0.050114554724693706,-1.1933369486639833
2.0,2,3.19637735199383,5.2697441641855,62.868839295417956,0.1908193832843955,sds_L40,r8M,2,63.31471340406593,0.4485318194729905,0.4458741086479705
3.0,3,3.0382585219367106,5.241815417427802,79.36043056701253,0.1908193832843955,sds_L40,r8M,3,78.13403250676569,0.05581773376417843,-1.2263980602468365
0.0,0,nan,0.0,25.54001699164613,0.19204371126656825,sds_L80,r8M,0,26.32981506029008,0.05019779081094352,0.7897980686439503
1.0,1,4.216574797159115,5.831081476242211,45.52893374892345,0.19204371126656825,sds_L80,r8M,1,44.32669066297608,0.05087636068361976,-1.202243085947373
2.0,2,3.19637735199383,5.235776555903483,62.5083605060053,0.19204371126656825,sds_L80,r8M,2,63.244341356557584,0.08277726494220387,0.7359808505522807
3.0,3,3.0382585219367106,5.208381609489402,78.89445986821433,0.19204371126656825,sds_L80,r8M,3,77.66324703163758,0.05280126397360403,-1.231212836576745
0.0,0,nan,0.0,25.507214258953432,0.19234857560438817,sds_L160,r8M,0,26.29890862650371,0.05001912689793699,0.7916943675502779
1.0,1,4.216574797159115,5.819498954197111,45.444272188675775,0.19234857560438817,sds_L160,r8M,1,44.247710625599,0.0500528760104557,-1.1965615630767772
2.0,2,3.19637735199383,5.227386791515398,62.39463237864239,0.19234857560438817,sds_L160,r8M,2,63.19284254391792,0.05035395512871896,0.7982101652755276
3.0,3,3.0382585219367106,5.200122642471762,78.75467356785164,0.19234857560438817,sds_L160,r8M,3,77.53293330293234,0.05034192116589526,-1.2217402649193048
