phase_radians,phase_over_half_pi,matched_lag_over_M,coherence,case,gamma_over_pi,pulse_pair,amplitude_ratio,eikonal_amplitude_ratio,phase_residual_from_minus_pi_over_2
-1.0871104834234981,-0.6920760284954788,1.5541597819345494,0.9997438502217663,schwarzschild,0.3333333333333333,0->1,0.18124019612724573,0.20787957635076193,0.4836858433713984
-1.6449537973672321,-1.0472101120351158,-1.9999998904336085,0.9995353907341666,schwarzschild,0.3333333333333333,1->2,0.23551942438070003,0.20787957635076193,-0.07415747057233556
-0.08434797173902858,-0.05369758656816756,-0.5600000338463171,0.998627124415682,schwarzschild,0.3333333333333333,2->3,0.148213073117569,0.20787957635076193,1.486448355055868
-1.0939275512397721,-0.6964159086568894,1.391151687669779,0.9999840835516507,sds_L20,0.3333333333333333,0->1,0.1472747682627638,0.20787957635076193,0.47686877555512436
-1.1331023050716333,-0.721355331523885,-1.4349999980088064,0.999991290070208,sds_L20,0.3333333333333333,1->2,0.2283757416133657,0.20787957635076193,0.4376940217232632
-0.544439324705144,-0.3466008389617485,-1.2250000314136986,0.9999997993903209,sds_L20,0.3333333333333333,2->3,0.17037231654040227,0.20787957635076193,1.0263570020897526
-1.075655006301184,-0.6847832452575091,1.4557700129136781,0.9999513195605065,sds_L40,0.3333333333333333,0->1,0.16597060379284073,0.20787957635076193,0.4951413204937125
-1.4908770770393371,-0.9491218254128279,-1.9999999359595737,0.9999281288877768,sds_L40,0.3333333333333333,1->2,0.22593868583613147,0.20787957635076193,0.07991924975555942
-0.0060396232150248625,-0.0038449435563350878,-0.7463255114583908,0.9999977353487775,sds_L40,0.3333333333333333,2->3,0.15644191841422292,0.20787957635076193,1.5647567035798717
-1.0755139371032327,-0.6846934378168212,1.504548613428019,0.999890871321937,sds_L80,0.3333333333333333,0->1,0.1729593640853577,0.20787957635076193,0.49528238969166377
-1.601277412263829,-1.0194048616927485,-1.9999998939141836,0.9992992221183306,sds_L80,0.3333333333333333,1->2,0.23252467235438362,0.20787957635076193,-0.030481085468932356
-0.028469682963259746,-0.01812436308744763,-0.6454094996645177,0.9999902958975251,sds_L80,0.3333333333333333,2->3,0.1505189114590388,0.20787957635076193,1.5423266438316368
-1.081116023585562,-0.6882598368379852,1.5281506195757713,0.9998292970109535,sds_L160,0.3333333333333333,0->1,0.1764456379452367,0.20787957635076193,0.4896803032093346
-1.6293736519624304,-1.0372914834140572,-1.999999888713791,0.9981451221816742,sds_L160,0.3333333333333333,1->2,0.2352800774753594,0.20787957635076193,-0.058577325167533896
-0.056103976239212046,-0.035716900582323366,-0.5989788217613895,0.9999558898213414,sds_L160,0.3333333333333333,2->3,0.14866687839912,0.20787957635076193,1.5146923505556844
-1.6316000426791912,-1.0387088477653628,1.846027498932773,0.9996793846839902,schwarzschild,0.5,0->1,0.17788138648197305,0.20787957635076193,-0.06080371588429467
-2.1982203238277283,-1.3994305221689993,-0.41591900098038254,0.9997395151473554,schwarzschild,0.5,1->2,0.22323574447335814,0.20787957635076193,-0.6274239970328317
-1.509101031178039,-0.9607235549482456,0.49886728257370844,0.9999538739415956,schwarzschild,0.5,2->3,0.18092139670719443,0.20787957635076193,0.0616952956168575
-1.5560600072530513,-0.9906185676077345,1.6450000438602037,0.9999729016448717,sds_L20,0.5,0->1,0.1953119164678269,0.20787957635076193,0.014736319541845289
-1.413286633312372,-0.8997262147894677,1.3999999870679565,0.9999975472491213,sds_L20,0.5,1->2,0.1796293787331971,0.20787957635076193,0.15750969348252464
-2.3550740952359868,-1.4992867344179215,0.16102274389927163,0.9999998649057404,sds_L20,0.5,2->3,0.19194305293015892,0.20787957635076193,-0.7842777684410902
-1.4196977617339985,-0.9038076659058629,1.8550000032276304,0.999881569110431,sds_L40,0.5,0->1,0.17649185271390486,0.20787957635076193,0.15109856506089803
-2.067925865816362,-1.316482493969046,-0.7349999957943876,0.9999905608187946,sds_L40,0.5,1->2,0.20464541063797723,0.20787957635076193,-0.4971295390214654
-1.2851006557645608,-0.8181204869422642,0.4123881266049284,0.9999998345397771,sds_L40,0.5,2->3,0.19409846003788464,0.20787957635076193,0.2856956710303358
-1.546080555832917,-0.9842654515162953,1.868974525420107,0.9997971472482575,sds_L80,0.5,0->1,0.17565975287735322,0.20787957635076193,0.024715770961979633
-2.168298625894596,-1.3803817776419574,-0.5949999857998755,0.9999174372099717,sds_L80,0.5,1->2,0.21689885703174766,0.20787957635076193,-0.5975022990996997
-1.4114603516263091,-0.8985635677582072,0.5595860111896728,0.9999994724797894,sds_L80,0.5,2->3,0.18491292285411065,0.20787957635076193,0.15933597516858744
-1.6049740392804137,-1.0217582075425746,1.8611443056794026,0.9997395045010573,sds_L160,0.5,0->1,0.17584049377200733,0.20787957635076193,-0.03417771248551715
-2.19322992203137,-1.396253533713379,-0.48999996261350287,0.9993033849869498,sds_L160,0.5,1->2,0.22178593959395757,0.20787957635076193,-0.6224335952364735
-1.4683604582573375,-0.9347873006893437,0.5410510092355477,0.999998072805271,sds_L160,0.5,2->3,0.181877449311375,0.20787957635076193,0.10243586853755904
