cosmological_length_over_M,monopole_final_value,monopole_tail_mean,monopole_tail_relative_drift,ell,late_rate_over_kappa_c,quoted_window_kappa_c_U,target,production_late_minimum,refined_late_minimum
20.0,-4.685694980566658,-4.685703322781326,9.109521039616734e-07,,,,,,
40.0,-2.294548818678059,-2.294549096334045,2.116769611142151e-07,,,,,,
80.0,-1.13411529121584,-1.1341178509470302,1.858872885552543e-06,,,,,,
160.0,-0.563657126664315,-0.5636453061168245,1.840401207989218e-05,,,,,,
20.0,,,,1,1.0720851251963166,"[8.262902030296452, 10.011234561781682]",1.0,,
40.0,,,,1,1.0185535813198463,"[6.173946421511912, 7.697280182780228]",1.0,,
80.0,,,,1,1.4395334007700855,"[4.086781337644792, 5.174491860800647]",1.0,,
160.0,,,,1,1.051539108803541,"[2.7644604168060343, 3.546943840127866]",1.0,,
20.0,,,,2,2.187733391292557,"[8.262902030296452, 9.512982033724823]",2.0,,
40.0,,,,2,1.9752892787906193,"[6.173946421511912, 7.431940554067862]",2.0,,
80.0,,,,2,-0.19144844032264008,"[4.086781337644792, 5.038071280068894]",2.0,,
160.0,,,,2,-1.1283648501368246,"[2.7644604168060343, 3.477828585071048]",2.0,,
80.0,,,,1,,,,1.209481393044021e-06,3.414156715710803e-05
80.0,,,,2,,,,2.8813318488972055e-11,1.0333190398538446e-10
