cosmological_length_over_M,observer,schwarzschild_delay_over_M,sds_delay_over_M,delay_shift_over_M,uncertainty_over_M,resolved_at_existing_cadence,M_over_L,M2_over_L2
20.0,r8M,17.93123556655054,19.268165016077667,1.3369294495271262,0.13791504583024844,True,0.05,0.0025
20.0,r12M,17.41754693612478,18.677720216946355,1.2601732808215758,0.14412932064394363,True,0.05,0.0025
20.0,outer,16.042005853407616,18.21245010863904,2.1704442552314234,0.24972930891796988,True,0.05,0.0025
40.0,r8M,17.93123556655054,18.22262335768776,0.29138779113721824,0.10060925344486107,True,0.025,0.000625
40.0,r12M,17.41754693612478,17.674401982228638,0.25685504610385834,0.11125413032997929,True,0.025,0.000625
40.0,outer,16.042005853407616,16.709340254289316,0.6673344008816997,0.20668260640847014,True,0.025,0.000625
80.0,r8M,17.93123556655054,17.996875602685996,0.06564003613545566,0.10053965525481483,False,0.0125,0.00015625
80.0,r12M,17.41754693612478,17.47563842551392,0.05809148938914177,0.10166150341505133,False,0.0125,0.00015625
80.0,outer,16.042005853407616,16.308933616296617,0.2669277628890008,0.1411315491784097,True,0.0125,0.00015625
160.0,r8M,17.93123556655054,17.948801999095288,0.0175664325447471,0.1000360107791088,False,0.00625,3.90625e-05
160.0,r12M,17.41754693612478,17.433334425566347,0.015787489441567715,0.10010388548320198,False,0.00625,3.90625e-05
160.0,outer,16.042005853407616,16.162056348458037,0.12005049505042109,0.11210172454815856,True,0.00625,3.90625e-05
