ell,m,source_amplitude
0,0,0.28209479177387814
1,1,0.45806485490899984
2,0,-0.259951641672974
2,2,0.45024945088853
3,1,-0.3107599002706512
3,3,0.4011893061391033
4,0,0.16716718437467895
4,2,-0.24919812524601523
4,4,0.3296581332922414
5,1,0.1737664244872678
5,3,-0.18768918986524216
5,5,0.2518114723083276
6,0,-0.08359325833309539
6,2,0.1211381399946425
6,4,-0.1327001836985689
6,6,0.17967689811157012
7,1,-0.07675866983520906
7,3,0.07976994964559199
7,5,-0.08818899750665744
7,7,0.1201813455075169
8,0,0.032971651050920085
8,2,-0.047290392759660134
8,4,0.04959858235977321
8,6,-0.055188207709782236
8,8,0.07556956567732062
9,1,0.02697389378120614
9,3,-0.027608660482015608
9,5,0.02914362817438448
9,7,-0.0325835668544509
9,9,0.04478182926675855
10,0,-0.010391340192013739
10,2,0.014831020174494135
10,4,-0.015278286773308425
10,6,0.01620507027347869
10,8,-0.018184798583722503
10,10,0.025066015022497227
11,1,-0.007629968945514888
11,3,0.007750133329236015
11,5,-0.00802215013622561
11,7,0.008540230979462079
11,9,-0.009611712849326815
11,11,0.013280489797430453
12,0,0.002651516953101482
12,2,-0.003774082112203158
12,4,0.0038519064259429606
12,6,-0.004001841742202584
12,8,0.004272797743374231
12,10,-0.004820365959145491
12,12,0.006673494484039317
13,1,0.0017595622255214668
13,3,-0.0017794449156631337
13,5,0.0018228523899177836
13,7,-0.0018993687052454415
13,9,0.002032816644879003
13,11,-0.002297872213459829
13,13,0.003186575419266672
14,0,-0.0005549818010821362
14,2,0.0007886271414848212
14,4,-0.0008004868617350031
14,6,0.0008224220699453241
14,8,-0.0008589918368538899
14,10,0.0009211661208212464
14,12,-0.001043015243237963
14,14,0.001448466714838295
15,1,-0.0003350298551353915
15,3,0.000337881224465439
15,5,-0.0003439696642342188
15,7,0.0003542396700646989
15,9,-0.0003707246512859951
15,11,0.00039822215543847453
15,13,-0.0004515414813627048
15,15,0.0006278429512941141
16,0,9.648471253099176e-05
16,2,-0.00013695442693195613
16,4,0.00013852565723144932
16,6,-0.00014135878599211835
16,8,0.00014586793981055053
16,10,-0.00015291114946726562
16,12,0.0001644874024765351
16,14,-0.00018674130194003713
16,16,0.0002599328915025548
