observer,resolution,timestep_over_M,exponential_scaled_window,floor_multiplier,floor_fraction_of_waveform_peak,departure_U_over_M,entry_U_over_M,departure_kappa_U,entry_kappa_U,crossover_duration_U_over_M,cosmological_rate_relative_tolerance,minimum_cosmological_scaled_duration,status,floor_source,cosmological_entry_without_price_anchor_U_over_M,cosmological_entry_without_price_anchor_kappa_U,cosmological_entry_anchor,trusted_until_U_over_M
r8M,3072,0.0025,0.15,10.0,2.220446049250313e-12,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,828.4398037631086
r8M,3072,0.0025,0.15,100.0,2.220446049250313e-11,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,886.3898037643735
r8M,3072,0.0025,0.15,1000.0,2.220446049250313e-10,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,631.2898037588052
r8M,3072,0.0025,0.25,10.0,2.220446049250313e-12,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,828.4398037631086
r8M,3072,0.0025,0.25,100.0,2.220446049250313e-11,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,886.3898037643735
r8M,3072,0.0025,0.25,1000.0,2.220446049250313e-10,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,631.2898037588052
r8M,3072,0.0025,0.4,10.0,2.220446049250313e-12,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,828.4398037631086
r8M,3072,0.0025,0.4,100.0,2.220446049250313e-11,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,886.3898037643735
r8M,3072,0.0025,0.4,1000.0,2.220446049250313e-10,367.7898037562698,,0.5728707871548038,,,0.1,0.4,no_cosmological_entry_before_ladder_floor,refinement_ladder,,,price_departure,631.2898037588052
r16M,3072,0.0025,0.15,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,950.8398037657803
r16M,3072,0.0025,0.15,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,1015.4398037671904
r16M,3072,0.0025,0.15,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,793.639803762349
r16M,3072,0.0025,0.25,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,950.8398037657803
r16M,3072,0.0025,0.25,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,1015.4398037671904
r16M,3072,0.0025,0.25,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,793.639803762349
r16M,3072,0.0025,0.4,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,950.8398037657803
r16M,3072,0.0025,0.4,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,1015.4398037671904
r16M,3072,0.0025,0.4,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,,,start_of_resolved_record,793.639803762349
outer,3072,0.0025,0.15,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1453.3898037767499,2.2638054465591173,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.15,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1453.3898037767499,2.2638054465591173,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.15,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1453.3898037767499,2.2638054465591173,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.25,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1455.2398037767903,2.2666870135450305,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.25,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1455.2398037767903,2.2666870135450305,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.25,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1455.2398037767903,2.2666870135450305,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.4,10.0,2.220446049250313e-12,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1459.6898037768874,2.2736183503489835,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.4,100.0,2.220446049250313e-11,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1459.6898037768874,2.2736183503489835,start_of_resolved_record,2029.8398037893326
outer,3072,0.0025,0.4,1000.0,2.220446049250313e-10,,,,,,0.1,0.4,no_resolved_price_interval,refinement_ladder,1459.6898037768874,2.2736183503489835,start_of_resolved_record,2029.8398037893326
