cosmological_length_over_M,observer,observer_index,observer_radius_over_M,primary_estimator,analysis_cadence_over_M,D1_over_M,analytic_envelope_D1_over_M,matched_template_D1_over_M,estimator_sensitivity_over_M,matched_template_arrivals_resolved,discretization_D1_uncertainty_over_M,window_sensitivity_over_M,cadence_sensitivity_over_M,source_width_sensitivity_over_M,source_width_sensitivity_available,source_width_sensitivity_classification,combined_fixed_source_timing_sensitivity_over_M,combined_timing_uncertainty_over_M,combination_rule,deterministic_sensitivities_are_statistical_errors,signal_to_combined_uncertainty,source_width_dependence_included_as_error,genuinely_resolved,genuinely_resolved_criterion,diagnostic_only,target_applies,target_uncertainty_over_M,meets_target,meets_combined_timing_sensitivity_target,target_test_basis,case_specific_error
80,r8M,0,8.0,matched_template_lag,0.001,0.06720111630002279,0.06470488092434223,0.06720111630002279,0.0024962353756805555,True,8.10316045374293e-08,6.735595662377136e-05,1.095755562374734e-05,0.003546177102670356,True,physical_source_dependence_not_numerical_error,0.0025746299195326117,0.0025746299195326117,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,26.101272182924923,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
80,r12M,1,12.0,matched_template_lag,0.001,0.06356589311634053,0.06039369826369878,0.06356589311634053,0.003172194852641752,True,6.758190274069875e-07,4.6545369954742455e-05,1.0786727496991944e-05,0.0028882820118063535,True,physical_source_dependence_not_numerical_error,0.0032302027691208934,0.0032302027691208934,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,19.67860770970738,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
80,outer,2,78.98059813298828,matched_template_lag,0.001,0.3129965883939967,0.29888737925655917,0.3129965883939967,0.014109209137437517,True,7.121450096292392e-10,0.0009130034113127294,4.1929197038825805e-06,0.04088055249190958,True,physical_source_dependence_not_numerical_error,0.015026406180599139,0.015026406180599139,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,20.829770247932746,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
160,r8M,0,8.0,matched_template_lag,0.001,0.016646364005833192,0.015833979462435366,0.016646364005833192,0.0008123845433978261,True,3.7135006181188146e-08,4.100247947391722e-05,2.873791743240872e-06,nan,False,physical_source_dependence_not_numerical_error,0.0008562979496211653,0.0008562979496211653,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,19.439920430964136,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
160,r12M,1,12.0,matched_template_lag,0.001,0.015751521632854093,0.013992897956498496,0.015751521632854093,0.0017586236763555974,True,6.19065538387531e-07,1.8058053839808963e-05,2.5804177177235488e-06,nan,False,physical_source_dependence_not_numerical_error,0.0017798812134515174,0.0017798812134515174,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,8.8497600366875,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
160,outer,2,158.99046547057517,matched_template_lag,0.001,0.14184428075645883,0.13419998066531846,0.14184428075645883,0.007644300091140366,True,4.25816537585888e-09,0.0004885137293939579,6.565097592670099e-06,nan,False,physical_source_dependence_not_numerical_error,0.00813938317629237,0.00813938317629237,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,17.426907873020344,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
320,r8M,0,8.0,matched_template_lag,0.001,0.00412123046557511,0.0037973751851225757,0.00412123046557511,0.0003238552804525341,True,6.804066998711278e-08,2.5210028866240464e-05,3.03572999627022e-07,nan,False,physical_source_dependence_not_numerical_error,0.0003494369229883887,0.0003494369229883887,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,11.79391814216511,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,True,0.0001,False,False,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
320,r12M,1,12.0,matched_template_lag,0.001,0.003905257268318252,0.0031222782921425107,0.003905257268318252,0.0007829789761757411,True,7.861490978200436e-07,1.5932082231273625e-05,4.4709363322681384e-08,nan,False,physical_source_dependence_not_numerical_error,0.0007997419168681574,0.0007997419168681574,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,4.8831469077068,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,True,0.0001,False,False,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
320,outer,2,318.99527303232253,matched_template_lag,0.001,0.06736803550965931,0.06333512171762123,0.06736803550965931,0.004032913792038073,True,3.834816908465655e-09,0.000245412383726773,2.208809203096962e-06,nan,False,physical_source_dependence_not_numerical_error,0.0042805388197848515,0.0042805388197848515,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,15.73821388986851,False,True,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,False,True,0.0005,False,False,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
640,r8M,0,8.0,matched_template_lag,0.001,0.0010127530096113446,0.0014213448691897668,0.0010127530096113446,0.00040859185957842215,True,1.7396093099364407e-07,1.368478222474323e-05,8.319773314724443e-08,nan,False,physical_source_dependence_not_numerical_error,0.00042253380046730626,0.00042253380046730626,"linear sum of absolute discretization, estimator, window, and cadence sensitivities; deterministic bound, not a statistical error",False,2.3968567922643786,False,False,all matched-template arrivals interior and abs(D1)/combined fixed-source deterministic sensitivity >= 3,True,False,nan,nan,nan,"combined fixed-source deterministic timing sensitivity, not PDE discretization alone",True
