cosmological_length_over_M,observer,coarse_D1_over_M,medium_D1_over_M,fine_D1_over_M,coarse_medium_difference_over_M,medium_fine_difference_over_M,observed_coupled_order,richardson_fine_error_over_M,conservative_discretization_error_over_M
80,r8M,0.0671992745347616,0.06720103526841825,0.06720111630002279,1.7607336566527465e-06,8.10316045374293e-08,7.4066577352681735,1.0918807795670643e-08,8.10316045374293e-08
80,r12M,0.06356604002630917,0.06356656893536794,0.06356589311634053,5.289090587723422e-07,6.758190274069875e-07,nan,nan,6.758190274069875e-07
80,outer,0.31299667895880035,0.3129965891061417,0.3129965883939967,8.985265864680514e-08,7.121450096292392e-10,11.868735672938026,2.4223123633070033e-11,7.121450096292392e-10
160,r8M,0.016643996532586414,0.01664632687082701,0.016646364005833192,2.3303382405970297e-06,3.7135006181188146e-08,10.111456467892394,2.142032939113768e-09,3.7135006181188146e-08
160,r12M,0.01575226704436261,0.01575214069839248,0.015751521632854093,1.2634597013061466e-07,6.19065538387531e-07,nan,nan,6.19065538387531e-07
160,outer,0.14184428282556638,0.1418442850146242,0.14184428075645883,2.1890578238981107e-09,4.25816537585888e-09,nan,nan,4.25816537585888e-09
320,r8M,0.004121464932495655,0.004121162424905123,0.00412123046557511,3.0250759053274123e-07,6.804066998711278e-08,3.215415496362412,4.4707357831987e-08,6.804066998711278e-08
320,r12M,0.0038954845957412942,0.003906043417416072,0.003905257268318252,1.0558821674777619e-05,7.861490978200436e-07,6.158613599847992,1.6106391589556484e-07,7.861490978200436e-07
320,outer,0.06736814215395981,0.06736803934447622,0.06736803550965931,1.028094835930915e-07,3.834816908465655e-09,7.947026757288727,4.339180407846575e-10,3.834816908465655e-09
640,r8M,0.001011632840786092,0.001012579048680351,0.0010127530096113446,9.462078942590324e-07,1.7396093099364407e-07,3.7615825145548687,8.916558037095391e-08,1.7396093099364407e-07
640,r12M,0.0009598809333262182,0.0009632833291632892,0.0009620331004001059,3.402395837071026e-06,1.2502287631832587e-06,1.8646286479675704,1.7611957985003792e-06,1.7611957985003792e-06
640,outer,0.032806176991165614,0.032806255118263294,0.03280626554162325,7.812709768018067e-08,1.0423359952937972e-08,4.620876694718012,3.751351164418091e-09,1.0423359952937972e-08
