estimator,model,members,window,window_start_U_over_M,window_end_U_over_M,E2_percent,within_1_percent
nested_triple,W(L) = W + a/L + b/L^2,"20,40,80",prompt_and_early_ringdown,0.0,40.0,2.279150065434939,False
nested_triple,W(L) = W + a/L + b/L^2,"20,40,80",radiative_signal,0.0,80.0,2.367544035657648,False
nested_triple,W(L) = W + a/L + b/L^2,"20,40,80",extended_finite_time,0.0,160.0,2.369514659874265,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"20,40,80",prompt_and_early_ringdown,0.0,40.0,6.544666266463412,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"20,40,80",radiative_signal,0.0,80.0,6.5414280325003915,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"20,40,80",extended_finite_time,0.0,160.0,6.541528724751726,False
nested_triple,W(L) = W + a/L + b/L^2,"40,80,160",prompt_and_early_ringdown,0.0,40.0,0.21161827763667845,True
nested_triple,W(L) = W + a/L + b/L^2,"40,80,160",radiative_signal,0.0,80.0,0.2173220167258017,True
nested_triple,W(L) = W + a/L + b/L^2,"40,80,160",extended_finite_time,0.0,160.0,0.21854858946357933,True
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"40,80,160",prompt_and_early_ringdown,0.0,40.0,3.2899831522727365,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"40,80,160",radiative_signal,0.0,80.0,3.28864054165072,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"40,80,160",extended_finite_time,0.0,160.0,3.2886418490495095,False
nested_triple,W(L) = W + a/L + b/L^2,"80,160,320",prompt_and_early_ringdown,0.0,40.0,0.021710929319535124,True
nested_triple,W(L) = W + a/L + b/L^2,"80,160,320",radiative_signal,0.0,80.0,0.022168184880052844,True
nested_triple,W(L) = W + a/L + b/L^2,"80,160,320",extended_finite_time,0.0,160.0,0.022181937025222403,True
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"80,160,320",prompt_and_early_ringdown,0.0,40.0,1.6465398735671206,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"80,160,320",radiative_signal,0.0,80.0,1.645873388096174,False
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"80,160,320",extended_finite_time,0.0,160.0,1.645875556357479,False
nested_triple,W(L) = W + a/L + b/L^2,"160,320,640",prompt_and_early_ringdown,0.0,40.0,0.010944261083761094,True
nested_triple,W(L) = W + a/L + b/L^2,"160,320,640",radiative_signal,0.0,80.0,0.014170201172975844,True
nested_triple,W(L) = W + a/L + b/L^2,"160,320,640",extended_finite_time,0.0,160.0,0.026478929866322942,True
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"160,320,640",prompt_and_early_ringdown,0.0,40.0,0.8234334638886687,True
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"160,320,640",radiative_signal,0.0,80.0,0.823151367284207,True
nested_triple_even,W(L) = W + a/L^2 + b/L^4,"160,320,640",extended_finite_time,0.0,160.0,0.8232198280708402,True
pair_linear,W(L) = W + a/L,"20,40",prompt_and_early_ringdown,0.0,40.0,15.118351313478934,False
pair_linear,W(L) = W + a/L,"20,40",radiative_signal,0.0,80.0,15.322236799146523,False
pair_linear,W(L) = W + a/L,"20,40",extended_finite_time,0.0,160.0,15.322666013926211,False
pair_quadratic,W(L) = W + a/L^2,"20,40",prompt_and_early_ringdown,0.0,40.0,14.193979217159422,False
pair_quadratic,W(L) = W + a/L^2,"20,40",radiative_signal,0.0,80.0,14.213969576982736,False
pair_quadratic,W(L) = W + a/L^2,"20,40",extended_finite_time,0.0,160.0,14.21407406056962,False
pair_linear,W(L) = W + a/L,"40,80",prompt_and_early_ringdown,0.0,40.0,2.9777290067849633,False
pair_linear,W(L) = W + a/L,"40,80",radiative_signal,0.0,80.0,3.0096275952643743,False
pair_linear,W(L) = W + a/L,"40,80",extended_finite_time,0.0,160.0,3.010308496613618,False
pair_quadratic,W(L) = W + a/L^2,"40,80",prompt_and_early_ringdown,0.0,40.0,7.0095836319550395,False
