comparison,window,window_family,window_start_U_over_M,window_end_U_over_M,reference_l2,difference_l2,E2,difference_linf_absolute,Einf,overlap_amplitude_ratio,amplitude_difference_fraction,phase_difference_radians,time_translation_fitted,paired_medium_fine_numerical_E2,propagated_estimated_fine_numerical_E2,directly_observed_medium_fine_change_E2,central_residual_is_resolved_accuracy,central_residual_interpretation,agreement_within_1_percent,numerical_below_0p2_percent,regulator_success,analysis_status
Winf_L80_vs_Schwarzschild,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.00022074377978966694,0.00021710929319535124,6.81674119321074e-05,0.00019232987472722192,0.9998360196723121,0.00016398032768794035,-3.238294218856696e-05,False,0.0004687600956322657,0.00027103518545191726,0.0004687600956322657,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L80_vs_Schwarzschild,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.0002256543388193155,0.00022168184880052842,6.81674119321074e-05,0.00019232987472722192,0.9998116577109487,0.0001883422890512909,-3.467016166339776e-05,False,0.0011239414664834654,0.0004278740881165019,0.0011239414664834654,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L80_vs_Schwarzschild,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.00022579442059126527,0.000221819370252224,6.81674119321074e-05,0.00019232987472722192,0.9997882421456246,0.00021175785437543837,-3.2955524972084025e-05,False,0.002666033840118321,0.0007767521682473569,0.002666033840118321,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L80_vs_Schwarzschild,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,4.665167943407103e-05,0.0009566273240629412,2.3091427497425737e-05,0.0008535577357542873,0.9990064280391392,0.0009935719608608062,-6.811200108529088e-05,False,0.021321694305371407,0.007703838262487739,0.021321694305371407,False,central extrapolant residual; not a resolved accuracy estimate,True,False,False,diagnostic_numerical_refinement_not_subdominant
Winf_L80_vs_Schwarzschild,late_time,disjoint,80.0,160.0,0.0009331252027985584,7.947977492456415e-06,0.00851758956742294,1.5175633499980856e-06,0.0026296014290415706,0.9978655975382131,0.002134402461786866,-9.184693097739018e-05,False,2.636959150798913,0.7371093551576788,2.636959150798913,False,central extrapolant residual; not a resolved accuracy estimate,True,False,False,diagnostic_numerical_refinement_not_subdominant
Winf_L160_vs_Schwarzschild,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0167403547808773,0.00011127471897117804,0.00010944261083761093,7.198506675576422e-05,0.0002031011370235957,0.9999150538770726,8.494612292742065e-05,-1.1515808559054479e-05,False,0.0001900818265799094,9.138620361322819e-05,0.0001900818265799094,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L160_vs_Schwarzschild,radiative_signal,cumulative,0.0,80.0,1.017919780262937,0.00014424128064277183,0.00014170201172975845,7.198506675576422e-05,0.0002031011370235957,0.9999264669253195,7.353307468049852e-05,-1.6970553228298972e-05,False,0.0005227243742310179,0.0001948734518248083,0.0005227243742310179,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L160_vs_Schwarzschild,extended_finite_time,cumulative,0.0,160.0,1.0179202128944886,0.00026953437926745683,0.00026478929866322943,7.198506675576422e-05,0.0002031011370235957,0.9999361957025747,6.380429742525173e-05,-1.9070941379105594e-05,False,0.0014296048450402087,0.00041258283758644577,0.0014296048450402087,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L160_vs_Schwarzschild,early_ringdown,disjoint,40.0,80.0,0.048766827227905506,9.177633839535253e-05,0.001881941959571157,1.8249851160250267e-05,0.0006745924060317426,0.9998466953394187,0.00015330466058127712,-0.00026371902613997467,False,0.010164132744053736,0.0036647010599712994,0.010164132744053736,False,central extrapolant residual; not a resolved accuracy estimate,True,False,False,diagnostic_numerical_refinement_not_subdominant
Winf_L160_vs_Schwarzschild,late_time,disjoint,80.0,160.0,0.0009331252027985584,0.00022766914418978547,0.24398563398242534,3.187871784693827e-05,0.05523876285390501,0.9822446385271651,0.017755361472834852,0.0032376591520951762,False,1.451403776624191,0.3993527763425452,1.451403776624191,False,central extrapolant residual; not a resolved accuracy estimate,False,False,False,diagnostic_numerical_refinement_not_subdominant
Winf_L80_vs_Winf_L160,prompt_and_early_ringdown,cumulative,0.0,40.0,1.0166535793943716,0.00018877249907619,0.00018568025815503765,7.366427978516832e-05,0.0002078767307042351,0.9999209539753915,7.904602460850896e-05,-2.0868270757180823e-05,False,0.0006570157614394489,0.0003624213890651454,0.0006570157614394489,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
Winf_L80_vs_Winf_L160,radiative_signal,cumulative,0.0,80.0,1.017833023527114,0.00021492148616569014,0.00021115593736673928,7.366427978516832e-05,0.0002078767307042351,0.9998851744353209,0.00011482556467912186,-1.769985212879122e-05,False,0.0016433798202980443,0.0006227475399413103,0.0016433798202980443,False,central extrapolant residual; not a resolved accuracy estimate,True,True,True,quantitative
