lower_L_over_M,upper_L_over_M,window,window_family,window_start_U_over_M,window_end_U_over_M,successive_difference_E2_over_schwarzschild,successive_difference_Einf_over_schwarzschild,upper_to_lower_overlap_amplitude_ratio,upper_to_lower_amplitude_difference_fraction,upper_to_lower_phase_difference_radians,time_translation_fitted
20,40,prompt_and_early_ringdown,cumulative,0.0,40.0,0.38369548949411253,0.3568056871151325,0.9370396937942479,0.0629603062057521,0.3454298090534444,False
20,40,radiative_signal,cumulative,0.0,80.0,0.385085696023811,0.3568056871151325,0.942229617862475,0.057770382137524945,0.38156374900305995,False
20,40,extended_finite_time,cumulative,0.0,160.0,0.38508766365188807,0.3568056871151325,0.9500764515806327,0.0499235484193673,0.39125459092951037,False
20,40,early_ringdown,disjoint,40.0,80.0,0.7805990000963122,0.7221971017132413,0.8357111364661594,0.16428886353384065,0.7201110098246202,False
20,40,late_time,disjoint,80.0,160.0,1.39187680985848,1.1742777967311548,0.6598628327844079,0.34013716721559206,1.40303476704329,False
40,80,prompt_and_early_ringdown,cumulative,0.0,40.0,0.14348253508652828,0.14000094427948553,0.985627147793479,0.014372852206520959,0.13691029192848903,False
40,80,radiative_signal,cumulative,0.0,80.0,0.1437190787779935,0.14000094427948553,0.9900137453110369,0.009986254688963081,0.14933011858823633,False
40,80,extended_finite_time,cumulative,0.0,160.0,0.14372010683890227,0.14000094427948553,0.9919973705977068,0.008002629402293238,0.15019003902963607,False
40,80,early_ringdown,disjoint,40.0,80.0,0.22407970533818286,0.18067182049583946,0.9394878892077987,0.06051211079220131,0.2364462103698381,False
40,80,late_time,disjoint,80.0,160.0,0.6103639340181054,0.3487598111196702,0.9203079570779259,0.0796920429220741,0.4681890904023199,False
80,160,prompt_and_early_ringdown,cumulative,0.0,40.0,0.0617308061594532,0.062179451838588896,0.9965093084603582,0.003490691539641766,0.059960349924374455,False
80,160,radiative_signal,cumulative,0.0,80.0,0.0617684556398414,0.062179451838588896,0.9990669435994719,0.0009330564005280984,0.06483516473705575,False
80,160,extended_finite_time,cumulative,0.0,160.0,0.0617686181999588,0.062179451838588896,0.9998148430880557,0.0001851569119443175,0.06461557257379556,False
80,160,early_ringdown,disjoint,40.0,80.0,0.07652941744004274,0.06276720181957067,0.9844800986752772,0.015519901324722807,0.08546070511424704,False
80,160,late_time,disjoint,80.0,160.0,0.16660350669581614,0.07791673218981882,0.9756759224056125,0.024324077594387483,0.13066904179461242,False
160,320,prompt_and_early_ringdown,cumulative,0.0,40.0,0.028591173200093654,0.029299015562339402,0.9991692036886495,0.0008307963113505235,0.02788339496316966,False
160,320,radiative_signal,cumulative,0.0,80.0,0.028593620872543992,0.029299015562339402,1.0005211517909895,0.0005211517909895491,0.030001847387537504,False
160,320,extended_finite_time,cumulative,0.0,160.0,0.028593666299388625,0.029299015562339402,1.0008572390327912,0.0008572390327912238,0.029749895078708753,False
160,320,early_ringdown,disjoint,40.0,80.0,0.02972427700442658,0.024612697009621307,0.996322811878829,0.0036771881211710156,0.03372364785349882,False
160,320,late_time,disjoint,80.0,160.0,0.06259715132784656,0.0270277506481197,0.9990068173035959,0.000993182696404138,0.045946958456586265,False
320,640,prompt_and_early_ringdown,cumulative,0.0,40.0,0.013755448532585016,0.014222299699782821,0.9997833130108531,0.000216686989146897,0.013414915738223081,False
320,640,radiative_signal,cumulative,0.0,80.0,0.013752895043123471,0.014222299699782821,1.0004818466031578,0.00048184660315775396,0.014394114668031907,False
320,640,extended_finite_time,cumulative,0.0,160.0,0.013753296743419918,0.014222299699782821,1.000648961963136,0.0006489619631360188,0.014233072337814859,False
320,640,early_ringdown,disjoint,40.0,80.0,0.012642262039953406,0.010408901828323481,0.9991682726143378,0.0008317273856621732,0.01441874770179649,False
320,640,late_time,disjoint,80.0,160.0,0.1154893720157691,0.026551705343379885,0.9907997430311201,0.009200256968879938,0.019248919008970192,False
