U,schwarzschild_scri_plus,sds_L20_cosmological_horizon,difference_L20,sds_L40_cosmological_horizon,difference_L40,sds_L80_cosmological_horizon,difference_L80,sds_L160_cosmological_horizon,difference_L160
-2.422588722239781,1.9688835982349662e-05,-4.1406537550935074e-06,-2.382948973744317e-05,2.409888124852027e-05,4.410045266170607e-06,-3.0219426285156622e-05,-4.990826226750628e-05,1.6152650312408857e-05,-3.536185669940805e-06
-2.372588722239781,2.105687392966668e-05,-4.837557629280526e-06,-2.5894431558947208e-05,2.7133510019064863e-05,6.076636089398182e-06,-3.3103465079206495e-05,-5.4160339008873175e-05,1.7442474346537167e-05,-3.6143995831295134e-06
-2.322588722239781,2.2388793388384426e-05,-5.60042181606133e-06,-2.7989215204445755e-05,3.0134773659710992e-05,7.745980271326566e-06,-3.5920927300594514e-05,-5.830972068897894e-05,1.869237790362345e-05,-3.696415484760976e-06
-2.2725887222397807,2.3685614193337534e-05,-6.3825728827213275e-06,-3.006818707605886e-05,3.309801657163748e-05,9.412402378299948e-06,-3.866821802599269e-05,-6.235383221933022e-05,1.9924842767711897e-05,-3.760771425625637e-06
-2.222588722239781,2.491963907330988e-05,-7.170534931548714e-06,-3.209017400485859e-05,3.601504755956454e-05,1.1095408486254663e-05,-4.138940786255675e-05,-6.630904693586663e-05,2.112826978838092e-05,-3.7913692849289586e-06
-2.172588722239781,2.609857592479614e-05,-7.95960201455283e-06,-3.405817793934897e-05,3.891752592527894e-05,1.2818950000482799e-05,-4.405669506778975e-05,-7.01552709925859e-05,2.229832074658189e-05,-3.80025517821425e-06
-2.122588722239781,2.739035364517084e-05,-8.746750737119677e-06,-3.6137104382290514e-05,4.178320660534229e-05,1.4392852960171447e-05,-4.666274594270771e-05,-7.405309958787856e-05,2.3412892562635322e-05,-3.977461082535518e-06
-2.0725887222397805,2.8491402888613376e-05,-9.537941795159278e-06,-3.802934468377265e-05,4.464222541094671e-05,1.615082252233333e-05,-4.91862138252499e-05,-7.767761671386328e-05,2.4645578412461328e-05,-3.845824476152048e-06
-2.0225887222397807,2.9468230224077158e-05,-1.0328999125928527e-05,-3.979722935000569e-05,4.7409321412998247e-05,1.794109118892109e-05,-5.1924810126075964e-05,-8.139304035015312e-05,2.5724984552366338e-05,-3.74324567171082e-06
-1.9725887222397807,3.05224982673942e-05,-1.1103863175638247e-05,-4.162636144303244e-05,5.0211212911129954e-05,1.9688714643735755e-05,-5.437280741551437e-05,-8.489530568290857e-05,2.6678717427993926e-05,-3.843780839400273e-06
-1.9225887222397806,3.1667191140186124e-05,-1.1892153299705658e-05,-4.3559344439891784e-05,5.3159247418734884e-05,2.149205627854876e-05,-5.6582894243526614e-05,-8.825008538371274e-05,2.7696563600427772e-05,-3.970627539758352e-06
-1.8725887222397806,3.282684201029104e-05,-1.2706061705304427e-05,-4.5532903715595464e-05,5.58865892488153e-05,2.3059747238524262e-05,-5.89113683876579e-05,-9.173821039794894e-05,2.8808882472053405e-05,-4.017959538237636e-06
-1.8225887222397805,3.394783940789681e-05,-1.3433657599387595e-05,-4.73814970072844e-05,5.837364871528477e-05,2.4425809307387962e-05,-6.142179454649353e-05,-9.536963395439034e-05,2.9950517144352717e-05,-3.99732226354409e-06
-1.7725887222397805,3.5004241049386986e-05,-1.4182474762952665e-05,-4.918671581233965e-05,6.0879466528976445e-05,2.587522547958946e-05,-6.399321226830498e-05,-9.899745331769197e-05,3.106577906219461e-05,-3.938461987192373e-06
-1.7225887222397804,3.596820953918195e-05,-1.5026011775040339e-05,-5.0994221314222286e-05,6.350876754105231e-05,2.754055800187036e-05,-6.65131815148135e-05,-0.00010248139105399546,3.212205164083762e-05,-3.8461578983443325e-06
-1.6725887222397804,3.679484742434569e-05,-1.5899192809713685e-05,-5.269404023405938e-05,6.61987548502913e-05,2.9403907425945612e-05,-6.890804577969867e-05,-0.00010570289320404436,3.308561334581617e-05,-3.709234078529517e-06
-1.6225887222397803,3.745170100517489e-05,-1.6742461017258006e-05,-5.4194162022432895e-05,6.884719410984852e-05,3.139549310467362e-05,-7.11077907404289e-05,-0.00010855949174560379,3.3910417682176944e-05,-3.5412833229979485e-06
-1.5725887222397803,3.8017686266270806e-05,-1.7555828741042893e-05,-5.5573515007313696e-05,7.137608381303384e-05,3.3358397546763034e-05,-7.3046122433727e-05,-0.0001110638086999978,3.4574237918931374e-05,-3.4434483473394324e-06
-1.5225887222397803,3.880209978863666e-05,-1.8367949738765025e-05,-5.717004952740169e-05,7.376675427192287e-05,3.496465448328621e-05,-7.475784822975442e-05,-0.00011355994801839109,3.518505766795461e-05,-3.6170421206820535e-06
-1.4725887222397802,4.024629276272451e-05,-1.920682612731364e-05,-5.9453118890038156e-05,7.613377893427254e-05,3.5887486171548024e-05,-7.65728861093205e-05,-0.00011681917887204502,3.6092969826148655e-05,-4.153322936575856e-06
-1.4225887222397802,4.232291853488446e-05,-2.0082053454503738e-05,-6.24049719893882e-05,7.881780965042156e-05,3.649489111553711e-05,-7.919331359832855e-05,-0.00012151623213321301,3.774450528952515e-05,-4.578413245359308e-06
-1.3725887222397801,4.385882587095921e-05,-2.0957451974640988e-05,-6.48162778456002e-05,8.230386257127954e-05,3.844503670032033e-05,-8.315733169838166e-05,-0.00012701615756934085,4.0000761331239144e-05,-3.8580645397200675e-06
-1.32258872223978,4.342301848683089e-05,-2.1713081829485493e-05,-6.513610031631638e-05,8.66627785705397e-05,4.3239760083708806e-05,-8.755152311620919e-05,-0.0001309745416030401,4.146122118893849e-05,-1.9617972978923977e-06
-1.27258872223978,4.2213565587864016e-05,-2.2158277532422957e-05,-6.437184312028698e-05,9.068728615757108e-05,4.847372056970706e-05,-8.960915575266339e-05,-0.0001318227213405274,4.062575203209415e-05,-1.5878135557698678e-06
-1.22258872223978,4.409291600998566e-05,-2.2226958164728953e-05,-6.631987417471462e-05,9.219747707829196e-05,4.81045610683063e-05,-8.800955538832618e-05,-0.00013210247139831184,3.920839716269331e-05,-4.884518847292349e-06
-1.17258872223978,4.845015853268894e-05,-2.237507203798717e-05,-7.08252305706761e-05,9.114005739514803e-05,4.2689898862459085e-05,-8.762737623556972e-05,-0.00013607753476825867,4.186217066932166e-05,-6.587987863367283e-06
-1.12258872223978,4.7863402618985446e-05,-2.3647779567869814e-05,-7.151118218685526e-05,9.246475627071032e-05,4.460135365172488e-05,-9.480250925600982e-05,-0.00014266591187499526,4.733575482517378e-05,-5.27647793811665e-07
-1.0725887222397799,4.3715770764436376e-05,-2.469882822363411e-05,-6.841459898807049e-05,0.00010060208948959416,5.688631872515778e-05,-0.00010255394217122685,-0.00014626971293566323,4.571242710955711e-05,1.9966563451207355e-06
-1.0225887222397798,4.9837312656784635e-05,5.184027779568594e-05,2.0029651389013063e-06,0.0001165717700619944,6.673445740520977e-05,-9.15889945472129e-05,-0.00014142630720399754,4.15176010535513e-05,-8.319711603233336e-06
-0.9725887222397798,0.00010334855044995999,0.0013789540243961324,0.0012756054739461724,0.00034823852393493483,0.00024488997348497485,4.461366516967065e-05,-5.873488528028934e-05,0.00012187004413644629,1.85214936864863e-05
-0.9225887222397797,0.0010016038211354324,0.009302107202058613,0.008300503380923181,0.002823910260072492,0.0018223064389370595,0.0014838460787777845,0.00048224225764235203,0.0011813721028916644,0.00017976828175623192
-0.8725887222397797,0.007853933534803492,0.025917391874755613,0.01806345833995212,0.013050881392731747,0.005196947857928255,0.009166399361419128,0.0013124658266156358,0.008191588645754502,0.00033765511095100974
-0.8225887222397796,0.026564662448786906,0.044482479804304295,0.01791781735551739,0.03152310007606937,0.004958437627282465,0.02768003916628988,0.001115376717502975,0.026941062472825333,0.00037640002403842646
-0.7725887222397798,0.04776270198548227,0.061393699954897754,0.013630997969415484,0.05147608012763496,0.0037133781421526887,0.048487082930884745,0.0007243809454024752,0.04799803491546027,0.00023533292997800215
-0.7225887222397809,0.06608088908712516,0.07563875972534508,0.009557870638219917,0.068804311387259,0.0027234223001338376,0.0666698294627757,0.0005889403756505485,0.06632250179716026,0.00024161271003510232
-0.6725887222397819,0.08092257253318307,0.08712823172095886,0.006205659187775797,0.08295673892343206,0.00203416639024899,0.08140142964413506,0.0004788571109519968,0.08121624142616996,0.0002936688929868897
-0.622588722239783,0.0924768160406346,0.09606622281010326,0.0035894067694686588,0.09402721686530524,0.0015504008246706447,0.09294179021104479,0.00046497417041019284,0.09277683720912193,0.00030002116848733273
-0.5725887222397841,0.1009049817632323,0.10271530126608927,0.001810319502856969,0.10226233294097707,0.00135735117774477,0.10147052574977906,0.0005655439865467626,0.10133082009388725,0.0004258383306549457
-0.5225887222397851,0.10673297151523829,0.10732735368448641,0.0005943821692481199,0.10803232384594548,0.0012993523307071875,0.1073867055824557,0.0006537340672174013,0.10722638653204412,0.0004934150168058316
-0.4725887222397862,0.11021858307720944,0.11012289700489408,-9.568607231535964e-05,0.1116317620108889,0.0014131789336794542,0.11106268104180586,0.0008440979645964186,0.11083120369017165,0.000612620612962203
-0.4225887222397873,0.11166244678290024,0.11129862004787418,-0.00036382673502606544,0.11329855398352352,0.0016361072006232796,0.11269321390792217,0.0010307671250219252,0.11240440805934561,0.0007419612764453659
-0.37258872223978834,0.11134950667729648,0.11101578981161915,-0.00033371686567733316,0.11327852332694689,0.0019290166496504085,0.11259092321559411,0.0012414165382976239,0.11219580321165679,0.0008462965343603024
-0.3225887222397894,0.109419534650136,0.10941345554159451,-6.07910854148741e-06,0.11173577219197967,0.002316237541843666,0.1109119795123732,0.0014924448622371939,0.11042031703357386,0.0010007823834378565
-0.27258872223979047,0.10612097634705771,0.10661668463640207,0.0004957082893443654,0.10883587955293869,0.0027149032058809835,0.10782812890505294,0.0017071525579952368,0.10722489661708046,0.0011039202700227485
-0.22258872223979154,0.10153809560554136,0.10272549678842119,0.001187401182879827,0.10471729586988895,0.0031792002643475925,0.10351477377236443,0.001976678166823065,0.10279071647059893,0.0012526208650575632
-0.1725887222397926,0.09585357240307374,0.0978367130032955,0.0019831406002217555,0.09948743569112463,0.0036338632880508898,0.09804665038207279,0.00219307797899905,0.09721294298694766,0.00135937058387392
-0.12258872223979367,0.08914574910969164,0.09203074078880522,0.0028849916791135743,0.09326272889426639,0.004116979784574745,0.09159370907433916,0.002447959964647514,0.09063376581563279,0.0014880167059411475
-0.07258872223979473,0.08153739455469475,0.0853811696298737,0.003843775075178954,0.086123181598189,0.004585787043494258,0.08419560851659577,0.0026582139619010237,0.08313043034701316,0.0015930357923184119
-0.0225887222397958,0.07311123341602746,0.07795796300598754,0.004846729589960075,0.0781613494478154,0.005050116031787941,0.075992067781933,0.0028808343659055408,0.07480874077931919,0.001697507363291731
0.027411277760203134,0.06394872514935065,0.06981868837971013,0.005869963230359473,0.06944587950514287,0.005497154355792219,0.06702067313716568,0.0030719479878150296,0.06574072921152954,0.0017920040621788869
0.07741127776020207,0.05413335654849358,0.061025335219314,0.00689197867082042,0.060049778122708876,0.005916421574215298,0.05738703086944933,0.003253674320955753,0.05600492624388523,0.0018715696953916505
0.127411277760201,0.043722626546695016,0.05162588646082523,0.007903259914130212,0.05003499827971804,0.006312371733023021,0.0471346159074525,0.0034119893607574836,0.04566999747183875,0.0019473709251437363
0.17741127776019994,0.032795192996319944,0.04167526197095835,0.008880068974638403,0.03946146132930519,0.0066662683329852465,0.0363431311999577,0.003547938203637753,0.03479704091118225,0.002001847914862305
0.22741127776019887,0.021397391933581093,0.03121580313130689,0.009818411197725797,0.028385186971477322,0.006987795037896229,0.025058845007299803,0.0036614530737187102,0.023449706191247508,0.0020523142576664155
0.2774112777601978,0.009598126688910559,0.02029653434043175,0.010698407651521191,0.01685801371634755,0.00725988702743699,0.013346482728764614,0.0037483560398540554,0.011679783535308984,0.0020816568463984247
0.32741127776019674,-0.002557865162961283,0.008956021493091118,0.0115138866560524,0.004930463726530974,0.007488328889492257,0.001249171929720445,0.003807037092681728,-0.0004565513764825546,0.002101313786478728
0.3774112777601957,-0.01501613371470685,-0.0027611695644466014,0.012254964150260249,-0.007350862083389992,0.007665271631316859,-0.011173444689978895,0.0038426890247279556,-0.01291031766233741,0.0021058160523694403
0.4274112777601946,-0.027725661175687394,-0.014819543091342946,0.012906118084344448,-0.019939993155946984,0.00778566801974041,-0.023887342049753197,0.003838319125934197,-0.02563557048346765,0.0020900906922197426
0.47741127776019354,-0.0406508667882719,-0.02717761116688552,0.01347325562138638,-0.0327944235099649,0.007856443278307,-0.036829834241333244,0.003821032546938656,-0.03858076391863437,0.002070102869637533
0.5274112777601925,-0.05372868574863317,-0.03980274248922683,0.01392594325940634,-0.04587127164907522,0.007857414099557945,-0.04998091148362615,0.0037477742650070187,-0.051712737386259484,0.002015948362373683
0.5774112777601914,-0.06694423670246943,-0.05265541582571335,0.014288820876756085,-0.05913216244421729,0.007812074258252144,-0.06326932879484365,0.003674907907625785,-0.06497368336186853,0.0019705533406009085
0.6274112777601903,-0.08022197796102014,-0.0657057356961821,0.014516242264838039,-0.07253549684484953,0.00768648111617061,-0.07669096270965775,0.0035310152513623877,-0.07834382642158684,0.0018781515394332982
0.6774112777601893,-0.09356238969560116,-0.07891549238644589,0.014646897309155263,-0.08604767107415845,0.007514718621442706,-0.09016570377206601,0.0033966859235351476,-0.09175927942807477,0.0018031102675263866
0.7274112777601882,-0.10688688308013357,-0.09225710320755046,0.014629779872583112,-0.0996267696430628,0.007260113437070767,-0.1037004926122345,0.003186390467899064,-0.10520929975662711,0.0016775833235064541
0.7774112777601871,-0.12019526867724517,-0.10569372717397948,0.014501541503265686,-0.11324414866816487,0.006951120009080297,-0.11721493873601294,0.002980329941232235,-0.11863073245666773,0.0015645362205774366
0.8274112777601861,-0.13342544081469454,-0.11919901426113597,0.014226426553558574,-0.12685744686271108,0.0065679939519834585,-0.13071254732045398,0.002712893494240559,-0.13201065847762242,0.0014147823370721235
0.877411277760185,-0.146554605962477,-0.1327384628086042,0.013816143153872779,-0.1404410835695134,0.0061135223929635885,-0.1441305498139549,0.0024240561485220913,-0.1452995877009338,0.0012550182615432004
0.927411277760184,-0.15955527869283787,-0.1462851297047819,0.013270148988055952,-0.1539550681678942,0.005600210524943666,-0.15744853941458442,0.0021067392782534444,-0.15846833397602167,0.001086944716816196
0.9774112777601829,-0.1723720129259669,-0.1598084390927086,0.012563573833258318,-0.16737195954180256,0.0050000533841643435,-0.17063907787233287,0.0017329350536340327,-0.17149170516345955,0.0008803077625073596
1.0274112777601818,-0.18500733527400584,-0.17327899592365958,0.011728339350346256,-0.1806594316795998,0.0043479035944060385,-0.18364688846324473,0.0013604468107611123,-0.18431957415905378,0.0006877611149520568
1.0774112777601808,-0.19739376751639887,-0.18667106884787182,0.010722698668527042,-0.19378270548323068,0.0036110620331681886,-0.19647761498563604,0.000916152530762826,-0.1969453314861064,0.0004484360302924595
1.1274112777601797,-0.20952844553058786,-0.19995261935452122,0.009575826176066643,-0.20671999518544787,0.00280845034513999,-0.20905891995851422,0.0004695255720736369,-0.2093140650375032,0.00021438049308467044
1.1774112777601786,-0.22137247948378816,-0.21310114372980943,0.008271335753978731,-0.21942987119520677,0.0019426082885813933,-0.2213957779182354,-2.329843444723312e-05,-0.22141240480246482,-3.99253186766646e-05
1.2274112777601776,-0.2328841034618122,-0.22608485952602037,0.006799243935791843,-0.23189466550372725,0.0009894379580849544,-0.23344105678276433,-0.0005569533209521249,-0.23320776719850106,-0.0003236637366888506
1.277411277760177,-0.24406430147803293,-0.23888005490984998,0.005184246568182949,-0.2440772592912967,-1.2957813263769768e-05,-0.24515937216244368,-0.0010950706844107538,-0.24465947111012312,-0.0005951696320901922
1.3274112777601759,-0.2548507293955491,-0.25145962345165546,0.0033911059438936353,-0.25595028739594855,-0.0010995580003994587,-0.2565501678044465,-0.0016994384088974135,-0.2557610968447749,-0.0009103674492257907
