tau,u_rho_0_r_2.0914885,u_rho_0.25_r_3.765829,u_rho_0.5_r_5.4401696,u_rho_0.75_r_7.1145101,u_rho_1_r_8.7888507
0.0,1.457167719820518e-16,0.0006600401974941605,0.6327368805949284,6.982860527651735e-08,-4.163336342344337e-17
0.04,8.493206138382448e-15,0.0006683570406156338,0.6322390145054626,1.0260990761928879e-07,2.3592239273284576e-15
0.08,1.6833756610878936e-14,0.0006914348940843251,0.6296798477601455,6.087128107123974e-07,5.169475958410885e-15
0.12000000000000001,2.478572902475662e-14,0.0007270037812577047,0.6236539460764792,4.920467363323661e-06,2.3439583607398617e-14
0.16,3.259198466665225e-14,0.0007734933211507138,0.6132977207180328,3.00631410380843e-05,1.6982873440873902e-12
0.19999999999999998,4.0148440128007223e-14,0.0008298628831494882,0.5984052398156623,0.00013811883655106758,8.23881171618801e-11
0.23999999999999996,4.73232564246473e-14,0.0008954746907801348,0.5793703212771146,0.0004974528970796213,2.2293834070485907e-09
0.27999999999999997,5.4664606174981145e-14,0.0009699994538090138,0.5570133066477023,0.0014560811331343453,3.741860466616176e-08
0.32,6.186717804723685e-14,0.001053346500856098,0.5323668840704223,0.0035657886316856294,4.2137568651706703e-07
0.36000000000000004,6.900729987435739e-14,0.0011456122852986257,0.5064818259287348,0.007480409619226296,3.3774850555987057e-06
0.4000000000000001,7.578659921847475e-14,0.0012470426223877631,0.4802869939597836,0.013708148378783102,2.0185647576984045e-05
0.4400000000000001,8.258671524430383e-14,0.0013580051613906186,0.4545124162039583,0.022304489753060767,9.342006786669521e-05
0.48000000000000015,8.912315330178444e-14,0.0014789694718418088,0.42966691764727644,0.03266453636456813,0.00034553763274321886
0.5200000000000001,9.558326352632207e-14,0.0016104927862209753,0.4060538903002191,0.04354365479736212,0.0010492231209189504
0.5600000000000002,1.0153683449587447e-13,0.0017532099406991145,0.3838080879375531,0.05331941238807128,0.0026767119793605354
0.6000000000000002,1.0708101072509635e-13,0.0019078264295734337,0.362939635430723,0.060387970534643155,0.0058535057115466915
