ell,L_over_M,observer,resolution,timestep,comparison,maximum_constraint_linf,status,resolved_configurations,kappa_c_U_departure_median,kappa_c_U_entry_median,U_over_M_departure_median,U_over_M_entry_median,maximum_relative_difference,maximum_local_relative_difference,median_local_relative_difference
1,80.0,r/M=8,1024,0.0025,resolution 1024 against 2048,1.7634993422248755e-09,resolved,27,1.5502111646729348,2.798703086541259,127.27086302732982,229.77086302723657,2.0632350522775426e-09,0.034255458512137696,0.0008851212613023119
1,80.0,r/M=8,1536,0.0025,resolution 1536 against 2048,1.5052176160653757e-09,resolved,54,1.411963522592881,2.8349398032979254,115.92086302734012,232.7458630272339,7.10610555759482e-11,0.0009579182027438347,5.0839703042302975e-05
1,80.0,r/M=8,2048,0.0025,resolution 2048 against 2048,6.872729328106875e-09,resolved,54,1.411963522592881,2.8349398032979254,115.92086302734012,232.7458630272339,,,
1,80.0,cosmological_horizon,1024,0.0025,resolution 1024 against 2048,1.7634993422248755e-09,marginal,21,0.8839427927100336,2.048998912970573,72.57086302737956,168.2208630272926,6.736661097550769e-08,0.04675897904478693,0.004697612049828814
1,80.0,cosmological_horizon,1536,0.0025,resolution 1536 against 2048,1.5052176160653757e-09,resolved,35,0.8260858499893065,2.1178182237857537,67.82086302738388,173.87086302728744,2.4884555088096672e-09,0.0017272301115551097,0.00017216496345144036
1,80.0,cosmological_horizon,2048,0.0025,resolution 2048 against 2048,6.872729328106875e-09,resolved,35,0.8260858499893065,2.1178182237857537,67.82086302738388,173.87086302728744,,,
1,80.0,r/M=8,1024,0.00125,timestep 0.00125 against 0.0025,1.1377415404476169e-09,measured,,,,,,4.657453537539133e-09,3.2001615616734302e-06,8.340894974510538e-07
1,160.0,r/M=8,1024,0.0025,resolution 1024 against 3072,8.676400464541708e-10,no_cosmological_entry,0,nan,nan,nan,nan,5.921216742680398e-10,0.5773287461487923,0.041998969381109474
1,160.0,r/M=8,1536,0.0025,resolution 1536 against 3072,1.6859449240273543e-09,marginal,21,0.9344489090331084,2.6904083578104077,151.4257275418732,435.9757275416144,7.891171619206677e-12,0.01099010108720726,0.00038016009069871605
1,160.0,r/M=8,2048,0.0025,resolution 2048 against 3072,2.6760810723686893e-09,resolved,54,0.8238336459182495,2.942956733987568,133.5007275418895,476.90072754157717,6.284676167415078e-13,0.0008333448277021708,4.0406623450844274e-05
1,160.0,r/M=8,3072,0.0025,resolution 3072 against 3072,6.9596459950430544e-09,resolved,54,0.8238336459182495,2.942031083250205,133.5007275418895,476.75072754157725,,,
1,160.0,cosmological_horizon,1024,0.0025,resolution 1024 against 3072,8.676400464541708e-10,no_cosmological_entry,0,nan,nan,nan,nan,3.4574585716727146e-08,0.18411759116908033,0.02116382499556119
1,160.0,cosmological_horizon,1536,0.0025,resolution 1536 against 3072,1.6859449240273543e-09,marginal,25,0.510192321075142,2.222646185196388,82.67572754193571,360.17572754168333,4.908139781051201e-10,0.0026136968957840255,0.00029228817246062773
1,160.0,cosmological_horizon,2048,0.0025,resolution 2048 against 3072,2.6760810723686893e-09,marginal,25,0.510192321075142,2.223571835933751,82.67572754193571,360.3257275416832,6.236239600259159e-11,0.00033209404808499156,3.680909150611961e-05
1,160.0,cosmological_horizon,3072,0.0025,resolution 3072 against 3072,6.9596459950430544e-09,marginal,25,0.510192321075142,2.2238803861795384,82.67572754193571,360.37572754168315,,,
