ell,resolution,observer,U_over_M,n_eff
0,2048,r/M=20,200.02741127761203,-2.8409531704178157
0,2048,r/M=20,200.077411277612,-2.840984959586462
0,2048,r/M=20,200.12741127761194,-2.841016731671906
0,2048,r/M=20,200.1774112776119,-2.841048486520052
0,2048,r/M=20,200.22741127761185,-2.8410802240589277
0,2048,r/M=20,200.2774112776118,-2.8411119441109403
0,2048,r/M=20,200.32741127761176,-2.841143646546476
0,2048,r/M=20,200.3774112776117,-2.841175331252637
0,2048,r/M=20,200.42741127761167,-2.841206998099083
0,2048,r/M=20,200.47741127761162,-2.8412386470092352
0,2048,r/M=20,200.52741127761158,-2.841270277815009
0,2048,r/M=20,200.57741127761153,-2.84130189039922
0,2048,r/M=20,200.6274112776115,-2.841333484647182
0,2048,r/M=20,200.67741127761144,-2.841365060472371
0,2048,r/M=20,200.7274112776114,-2.8413966177594157
0,2048,r/M=20,200.77741127761135,-2.841428156324115
0,2048,r/M=20,200.8274112776113,-2.8414596761759148
0,2048,r/M=20,200.87741127761126,-2.8414911771527542
0,2048,r/M=20,200.9274112776112,-2.8415226590778984
0,2048,r/M=20,200.97741127761117,-2.8415541219569875
0,2048,r/M=20,201.02741127761112,-2.8415855656325966
0,2048,r/M=20,201.07741127761108,-2.8416169899783403
0,2048,r/M=20,201.12741127761103,-2.8416483949503597
0,2048,r/M=20,201.177411277611,-2.8416797804616336
0,2048,r/M=20,201.22741127761094,-2.841711146341892
0,2048,r/M=20,201.2774112776109,-2.841742492517711
0,2048,r/M=20,201.32741127761085,-2.8417738189554145
0,2048,r/M=20,201.3774112776108,-2.841805125526623
0,2048,r/M=20,201.42741127761076,-2.841836412094006
0,2048,r/M=20,201.4774112776107,-2.8418676786258033
0,2048,r/M=20,201.52741127761067,-2.841898925047031
0,2048,r/M=20,201.57741127761062,-2.841930151236565
0,2048,r/M=20,201.62741127761058,-2.841961357101582
0,2048,r/M=20,201.67741127761053,-2.841992542548934
0,2048,r/M=20,201.72741127761049,-2.842023707582618
0,2048,r/M=20,201.77741127761044,-2.8420548520429607
0,2048,r/M=20,201.8274112776104,-2.842085975815788
0,2048,r/M=20,201.87741127761035,-2.8421170789271573
0,2048,r/M=20,201.9274112776103,-2.8421481612737898
0,2048,r/M=20,201.97741127761026,-2.842179222743465
0,2048,r/M=20,202.0274112776102,-2.8422102632351027
0,2048,r/M=20,202.07741127761017,-2.842241282733447
0,2048,r/M=20,202.12741127761012,-2.8422722811856533
0,2048,r/M=20,202.17741127761008,-2.8423032584552774
0,2048,r/M=20,202.22741127761003,-2.842334214506094
0,2048,r/M=20,202.27741127760999,-2.8423651492556217
0,2048,r/M=20,202.32741127760994,-2.842396062669948
0,2048,r/M=20,202.3774112776099,-2.8424269546688836
0,2048,r/M=20,202.42741127760985,-2.842457825146042
0,2048,r/M=20,202.4774112776098,-2.842488674086782
0,2048,r/M=20,202.52741127760976,-2.842519501384119
0,2048,r/M=20,202.5774112776097,-2.842550307014224
0,2048,r/M=20,202.62741127760967,-2.8425810909328586
0,2048,r/M=20,202.67741127760962,-2.842611853026392
0,2048,r/M=20,202.72741127760958,-2.8426425932269472
0,2048,r/M=20,202.77741127760953,-2.842673311498055
0,2048,r/M=20,202.82741127760949,-2.8427040078433357
0,2048,r/M=20,202.87741127760944,-2.8427346821479835
0,2048,r/M=20,202.9274112776094,-2.8427653343314594
0,2048,r/M=20,202.97741127760935,-2.8427959643359957
0,2048,r/M=20,203.0274112776093,-2.8428265721410515
0,2048,r/M=20,203.07741127760926,-2.84285715772007
0,2048,r/M=20,203.1274112776092,-2.8428877209856234
0,2048,r/M=20,203.17741127760917,-2.8429182618326525
0,2048,r/M=20,203.22741127760912,-2.8429487802741797
0,2048,r/M=20,203.27741127760908,-2.8429792762796855
0,2048,r/M=20,203.32741127760903,-2.8430097497461615
0,2048,r/M=20,203.37741127760899,-2.8430402006309694
0,2048,r/M=20,203.42741127760894,-2.8430706288796417
0,2048,r/M=20,203.4774112776089,-2.8431010344547856
0,2048,r/M=20,203.52741127760885,-2.8431314173071804
0,2048,r/M=20,203.5774112776088,-2.8431617774191587
0,2048,r/M=20,203.62741127760876,-2.8431921147091517
0,2048,r/M=20,203.6774112776087,-2.84322242912134
0,2048,r/M=20,203.72741127760867,-2.843252720648846
0,2048,r/M=20,203.77741127760862,-2.843282989232439
0,2048,r/M=20,203.82741127760858,-2.843313234792333
0,2048,r/M=20,203.87741127760853,-2.8433434573469527
0,2048,r/M=20,203.92741127760848,-2.8433736568014982
0,2048,r/M=20,203.97741127760844,-2.843403833153616
0,2048,r/M=20,204.0274112776084,-2.843433986360138
0,2048,r/M=20,204.07741127760835,-2.8434641163283345
0,2048,r/M=20,204.1274112776083,-2.8434942230899005
0,2048,r/M=20,204.17741127760826,-2.8435243065631837
0,2048,r/M=20,204.2274112776082,-2.8435543667155705
0,2048,r/M=20,204.27741127760817,-2.84358440353452
0,2048,r/M=20,204.32741127760812,-2.843614417004355
0,2048,r/M=20,204.37741127760808,-2.843644407027845
0,2048,r/M=20,204.42741127760803,-2.843674373568452
0,2048,r/M=20,204.47741127760798,-2.8437043166562193
0,2048,r/M=20,204.52741127760794,-2.8437342362367137
0,2048,r/M=20,204.5774112776079,-2.8437641322959326
0,2048,r/M=20,204.62741127760785,-2.8437940047789327
0,2048,r/M=20,204.6774112776078,-2.8438238536334093
0,2048,r/M=20,204.72741127760776,-2.8438536788620676
0,2048,r/M=20,204.7774112776077,-2.84388348044703
0,2048,r/M=20,204.82741127760767,-2.843913258393472
0,2048,r/M=20,204.87741127760762,-2.8439430126131904
0,2048,r/M=20,204.92741127760758,-2.8439727430788375
0,2048,r/M=20,204.97741127760753,-2.844002449861863
0,2048,r/M=20,205.02741127760748,-2.844032132852927
0,2048,r/M=20,205.07741127760744,-2.844061792041456
0,2048,r/M=20,205.1274112776074,-2.844091427472037
0,2048,r/M=20,205.17741127760735,-2.8441210390753726
0,2048,r/M=20,205.2274112776073,-2.844150626848963
0,2048,r/M=20,205.27741127760726,-2.844180190763837
0,2048,r/M=20,205.3274112776072,-2.8442097308170435
0,2048,r/M=20,205.37741127760717,-2.844239247046276
0,2048,r/M=20,205.42741127760712,-2.844268739378117
0,2048,r/M=20,205.47741127760708,-2.844298207817706
0,2048,r/M=20,205.52741127760703,-2.844327652399182
0,2048,r/M=20,205.57741127760698,-2.844357073025041
0,2048,r/M=20,205.62741127760694,-2.844386469790333
0,2048,r/M=20,205.6774112776069,-2.8444158426409225
0,2048,r/M=20,205.72741127760685,-2.844445191557494
0,2048,r/M=20,205.7774112776068,-2.8444745166286984
0,2048,r/M=20,205.82741127760676,-2.8445038177353883
0,2048,r/M=20,205.8774112776067,-2.844533094939483
0,2048,r/M=20,205.92741127760667,-2.8445623482442217
0,2048,r/M=20,205.97741127760662,-2.8445915776467836
0,2048,r/M=20,206.02741127760657,-2.8446207831851233
0,2048,r/M=20,206.07741127760653,-2.8446499648091654
0,2048,r/M=20,206.12741127760648,-2.8446791225505965
0,2048,r/M=20,206.17741127760644,-2.8447082564174826
0,2048,r/M=20,206.2274112776064,-2.844737366435273
0,2048,r/M=20,206.27741127760635,-2.8447664526028498
0,2048,r/M=20,206.3274112776063,-2.8447955149247486
0,2048,r/M=20,206.37741127760626,-2.8448245534199645
0,2048,r/M=20,206.4274112776062,-2.8448535681131695
0,2048,r/M=20,206.47741127760617,-2.844882558999508
0,2048,r/M=20,206.52741127760612,-2.844911526106196
0,2048,r/M=20,206.57741127760607,-2.8449404694543965
0,2048,r/M=20,206.62741127760603,-2.8449693890504024
0,2048,r/M=20,206.67741127760598,-2.8449982849561097
0,2048,r/M=20,206.72741127760594,-2.8450271571421952
0,2048,r/M=20,206.7774112776059,-2.8450560056173
0,2048,r/M=20,206.82741127760585,-2.8450848304721643
0,2048,r/M=20,206.8774112776058,-2.8451136316768726
0,2048,r/M=20,206.92741127760576,-2.8451424092424418
0,2048,r/M=20,206.9774112776057,-2.845171163247343
0,2048,r/M=20,207.02741127760567,-2.845199893661062
0,2048,r/M=20,207.07741127760562,-2.845228600564673
0,2048,r/M=20,207.12741127760557,-2.845257283953761
0,2048,r/M=20,207.17741127760553,-2.8452859438266462
0,2048,r/M=20,207.22741127760548,-2.8453145802550623
0,2048,r/M=20,207.27741127760544,-2.845343193248749
0,2048,r/M=20,207.3274112776054,-2.8453717828496607
0,2048,r/M=20,207.37741127760535,-2.8454003490406454
0,2048,r/M=20,207.4274112776053,-2.8454288919016046
0,2048,r/M=20,207.47741127760526,-2.8454574114887246
0,2048,r/M=20,207.5274112776052,-2.8454859077666166
0,2048,r/M=20,207.57741127760517,-2.8455143807822507
0,2048,r/M=20,207.62741127760512,-2.8455428305794865
0,2048,r/M=20,207.67741127760507,-2.845571257160703
0,2048,r/M=20,207.72741127760503,-2.84559966061959
0,2048,r/M=20,207.77741127760498,-2.8456280409286627
0,2048,r/M=20,207.82741127760494,-2.8456563981163208
0,2048,r/M=20,207.8774112776049,-2.845684732258053
0,2048,r/M=20,207.92741127760485,-2.8457130433848965
0,2048,r/M=20,207.9774112776048,-2.845741331507025
0,2048,r/M=20,208.02741127760476,-2.8457695966462437
