ell,L_over_M,observer,kappa_c_U,gamma_eff_over_kappa_c
1,20.0,r/M=4,0.5577825785453954,1.3930237280549866
1,20.0,r/M=4,0.5600069201885112,1.3839678509744013
1,20.0,r/M=4,0.5622312618316269,1.3749970462151557
1,20.0,r/M=4,0.5644556034747426,1.3661281501435205
1,20.0,r/M=4,0.5666799451178582,1.3573803042106805
1,20.0,r/M=4,0.568904286760974,1.348770421045629
1,20.0,r/M=4,0.5711286284040897,1.3403133839389911
1,20.0,r/M=4,0.5733529700472054,1.332022248173923
1,20.0,r/M=4,0.5755773116903212,1.3239084418268645
1,20.0,r/M=4,0.5778016533334369,1.3159819639971608
1,20.0,r/M=4,0.5800259949765526,1.3082515786737785
1,20.0,r/M=4,0.5822503366196683,1.300725002646032
1,20.0,r/M=4,0.5844746782627841,1.2934090859903336
1,20.0,r/M=4,0.5866990199058998,1.2863099837402923
1,20.0,r/M=4,0.5889233615490155,1.2794333173930437
1,20.0,r/M=4,0.5911477031921313,1.2727843248991453
1,20.0,r/M=4,0.593372044835247,1.266367997743159
1,20.0,r/M=4,0.5955963864783627,1.2601892036647877
1,20.0,r/M=4,0.5978207281214784,1.2542527934922834
1,20.0,r/M=4,0.6000450697645942,1.2485636904595485
1,20.0,r/M=4,0.6022694114077098,1.243126960319647
1,20.0,r/M=4,0.6044937530508271,1.2379478605854561
1,20.0,r/M=4,0.6067180946939444,1.2330318673748872
1,20.0,r/M=4,0.6089424363370617,1.22838467878381
1,20.0,r/M=4,0.611166777980179,1.224012194547933
1,20.0,r/M=4,0.6133911196232963,1.2199204731538091
1,20.0,r/M=4,0.6156154612664136,1.2161156695690034
1,20.0,r/M=4,0.617839802909531,1.2126039592320461
1,20.0,r/M=4,0.6200641445526482,1.2093914563175097
1,20.0,r/M=4,0.6222884861957656,1.2064841355349674
1,20.0,r/M=4,0.6245128278388828,1.2038877655749558
1,20.0,r/M=4,0.6267371694820002,1.2016078581972562
1,20.0,r/M=4,0.6289615111251174,1.1996496313152996
1,20.0,r/M=4,0.6311858527682348,1.1980179806239033
1,20.0,r/M=4,0.633410194411352,1.1967174546079966
1,20.0,r/M=4,0.6356345360544694,1.1957522304556791
1,20.0,r/M=4,0.6378588776975866,1.1951260903992091
1,20.0,r/M=4,0.640083219340704,1.1948423985997565
1,20.0,r/M=4,0.6423075609838212,1.194904078767547
1,20.0,r/M=4,0.6445319026269386,1.1953135927211977
1,20.0,r/M=4,0.6467562442700558,1.1960729200824618
1,20.0,r/M=4,0.6489805859131732,1.1971835393180088
1,20.0,r/M=4,0.6512049275562904,1.198646410323299
1,20.0,r/M=4,0.6534292691994078,1.2004619587481244
1,20.0,r/M=4,0.655653610842525,1.202630062256633
1,20.0,r/M=4,0.6578779524856424,1.2051500388951781
1,20.0,r/M=4,0.6601022941287596,1.2080206377386866
1,20.0,r/M=4,0.662326635771877,1.2112400319606986
1,20.0,r/M=4,0.6645509774149942,1.214805814462795
1,20.0,r/M=4,0.6667753190581116,1.2187149961647954
1,20.0,r/M=4,0.6689996607012288,1.2229640070460146
1,20.0,r/M=4,0.6712240023443462,1.227548699996942
1,20.0,r/M=4,0.6734483439874634,1.2324643575074696
1,20.0,r/M=4,0.6756726856305808,1.2377057012032004
1,20.0,r/M=4,0.677897027273698,1.2432669042001332
1,20.0,r/M=4,0.6801213689168154,1.2491416062237777
1,20.0,r/M=4,0.6823457105599326,1.2553229314137175
1,20.0,r/M=4,0.68457005220305,1.26180350870102
1,20.0,r/M=4,0.6867943938461673,1.268575494621691
1,20.0,r/M=4,0.6890187354892846,1.2756305984109702
1,20.0,r/M=4,0.691243077132402,1.282960109189754
1,20.0,r/M=4,0.6934674187755192,1.2905549250442572
1,20.0,r/M=4,0.6956917604186366,1.2984055837840114
1,20.0,r/M=4,0.6979161020617538,1.3065022951394965
1,20.0,r/M=4,0.7001404437048712,1.3148349741603862
1,20.0,r/M=4,0.7023647853479884,1.3233932755705546
1,20.0,r/M=4,0.7045891269911058,1.3321666288197813
1,20.0,r/M=4,0.706813468634223,1.3411442735830703
1,20.0,r/M=4,0.7090378102773404,1.350315295462614
1,20.0,r/M=4,0.7112621519204576,1.3596686616428395
1,20.0,r/M=4,0.7134864935635749,1.3691932562670226
1,20.0,r/M=4,0.7157108352066921,1.3788779153174138
1,20.0,r/M=4,0.7179351768498095,1.3887114607832929
1,20.0,r/M=4,0.7201595184929268,1.398682733927766
1,20.0,r/M=4,0.722383860136044,1.4087806274754138
1,20.0,r/M=4,0.7246082017791614,1.4189941165649476
1,20.0,r/M=4,0.7268325434222787,1.4293122883274378
1,20.0,r/M=4,0.729056885065396,1.4397243699688047
1,20.0,r/M=4,0.7312812267085133,1.4502197552604223
1,20.0,r/M=4,0.7335055683516306,1.460788029355701
1,20.0,r/M=4,0.7357299099947479,1.4714189918731886
1,20.0,r/M=4,0.7379542516378652,1.4821026782024325
1,20.0,r/M=4,0.7401785932809825,1.4928293790115137
1,20.0,r/M=4,0.7424029349240998,1.5035896579438404
1,20.0,r/M=4,0.7446272765672171,1.5143743675141792
1,20.0,r/M=4,0.7468516182103344,1.525174663222214
1,20.0,r/M=4,0.7490759598534517,1.5359820159238018
1,20.0,r/M=4,0.751300301496569,1.546788222495462
1,20.0,r/M=4,0.7535246431396863,1.5575854148497612
1,20.0,r/M=4,0.7557489847828036,1.568366067365396
1,20.0,r/M=4,0.7579733264259209,1.5791230027935517
1,20.0,r/M=4,0.7601976680690382,1.5898493967144836
1,20.0,r/M=4,0.7624220097121555,1.6005387806141986
1,20.0,r/M=4,0.7646463513552728,1.611185043663335
1,20.0,r/M=4,0.7668706929983901,1.6217824332566957
1,20.0,r/M=4,0.7690950346415074,1.632325554392497
1,20.0,r/M=4,0.7713193762846247,1.6428093679570586
1,20.0,r/M=4,0.773543717927742,1.653229187966681
1,20.0,r/M=4,0.7757680595708593,1.6635806778203022
1,20.0,r/M=4,0.7779924012139766,1.673859845611241
1,20.0,r/M=4,0.7802167428570939,1.6840630385285404
1,20.0,r/M=4,0.7824410845002112,1.694186936375458
1,20.0,r/M=4,0.7846654261433285,1.7042285442334577
1,20.0,r/M=4,0.7868897677864458,1.714185184290385
1,20.0,r/M=4,0.7891141094295631,1.7240544868564702
1,20.0,r/M=4,0.7913384510726804,1.733834380610719
1,20.0,r/M=4,0.7935627927157978,1.7435230821312018
1,20.0,r/M=4,0.795787134358915,1.7531190847934097
1,20.0,r/M=4,0.7980114760020324,1.7626211471593463
1,20.0,r/M=4,0.8002358176451496,1.7720282810069272
1,20.0,r/M=4,0.802460159288267,1.7813397391654036
1,20.0,r/M=4,0.8046845009313842,1.790555003320516
1,20.0,r/M=4,0.8069088425745016,1.7996737719081346
1,20.0,r/M=4,0.8091331842176188,1.808695948136153
1,20.0,r/M=4,0.8113575258607362,1.8176216281261741
1,20.0,r/M=4,0.8135818675038534,1.826451089112692
1,20.0,r/M=4,0.8158062091469708,1.835184777673342
1,20.0,r/M=4,0.818030550790088,1.8438232979867017
1,20.0,r/M=4,0.8202548924332054,1.852367400128903
1,20.0,r/M=4,0.8224792340763226,1.8608179684332538
1,20.0,r/M=4,0.82470357571944,1.8691760099294021
1,20.0,r/M=4,0.8269279173625572,1.8774426428750546
1,20.0,r/M=4,0.8291522590056746,1.8856190853927932
1,20.0,r/M=4,0.8313766006487918,1.8937066442325905
1,20.0,r/M=4,0.8336009422919092,1.9017067036608224
1,20.0,r/M=4,0.8358252839350264,1.909620714491193
1,20.0,r/M=4,0.8380496255781438,1.9174501832674726
1,20.0,r/M=4,0.840273967221261,1.9251966615999656
1,20.0,r/M=4,0.8424983088643784,1.9328617356708835
1,20.0,r/M=4,0.8447226505074956,1.940447015911733
1,20.0,r/M=4,0.846946992150613,1.9479541268560818
1,20.0,r/M=4,0.8491713337937302,1.9553846971779913
1,20.0,r/M=4,0.8513956754368476,1.9627403499241176
1,20.0,r/M=4,0.8536200170799648,1.9700226929373892
1,20.0,r/M=4,0.8558443587230822,1.9772333094867285
1,20.0,r/M=4,0.8580687003661994,1.9843737491040063
1,20.0,r/M=4,0.8602930420093168,1.991445518633985
1,20.0,r/M=4,0.862517383652434,1.9984500735119404
1,20.0,r/M=4,0.8647417252955514,2.0053888092622576
1,20.0,r/M=4,0.8669660669386687,2.012263053237483
1,20.0,r/M=4,0.869190408581786,2.0190740566032668
1,20.0,r/M=4,0.8714147502249033,2.025822986575344
1,20.0,r/M=4,0.8736390918680206,2.032510918917653
1,20.0,r/M=4,0.8758634335111379,2.0391388307137386
1,20.0,r/M=4,0.8780877751542552,2.045707593425013
1,20.0,r/M=4,0.8803121167973725,2.052217966242017
1,20.0,r/M=4,0.8825364584404898,2.058670589741789
1,20.0,r/M=4,0.8847608000836071,2.065065979869067
1,20.0,r/M=4,0.8869851417267244,2.0714045222502593
1,20.0,r/M=4,0.8892094833698417,2.077686466857291
1,20.0,r/M=4,0.891433825012959,2.083911923036163
1,20.0,r/M=4,0.8936581666560763,2.0900808549133325
1,20.0,r/M=4,0.8958825082991936,2.0961930772037074
1,20.0,r/M=4,0.8981068499423109,2.102248251428242
1,20.0,r/M=4,0.9003311915854282,2.108245882565651
1,20.0,r/M=4,0.9025555332285455,2.1141853161528577
1,20.0,r/M=4,0.9047798748716628,2.120065735851821
1,20.0,r/M=4,0.9070042165147801,2.1258861615039906
1,20.0,r/M=4,0.9092285581578974,2.131645447687556
1,20.0,r/M=4,0.9114528998010147,2.1373422827997004
1,20.0,r/M=4,0.913677241444132,2.142975188674146
1,20.0,r/M=4,0.9159015830872493,2.1485425207590074
1,20.0,r/M=4,0.9181259247303666,2.154042468870666
1,20.0,r/M=4,0.9203502663734839,2.1594730585343784
1,20.0,r/M=4,0.9225746080166012,2.1648321529303036
1,20.0,r/M=4,0.9247989496597185,2.1701174554577225
1,20.0,r/M=4,0.9270232913028358,2.1753265129315906
1,20.0,r/M=4,0.9292476329459531,2.1804567194146154
1,20.0,r/M=4,0.9314719745890704,2.185505320701388
1,20.0,r/M=4,0.9336963162321877,2.190469419457849
1,20.0,r/M=4,0.9359206578753051,2.1953459810130433
1,20.0,r/M=4,0.9381449995184223,2.2001318398156364
1,20.0,r/M=4,0.9403693411615397,2.204823706545036
1,20.0,r/M=4,0.9425936828046569,2.2094181758721785
1,20.0,r/M=4,0.9448180244477743,2.2139117348674953
1,20.0,r/M=4,0.9470423660908915,2.218300772036184
1,20.0,r/M=4,0.9492667077340089,2.2225815869732672
1,20.0,r/M=4,0.9514910493771261,2.226750400613371
1,20.0,r/M=4,0.9537153910202435,2.2308033660545346
1,20.0,r/M=4,0.9559397326633607,2.234736579930021
1,20.0,r/M=4,0.9581640743064781,2.2385460942965794
1,20.0,r/M=4,0.9603884159495953,2.2422279290047413
