ell,L_over_M,resolution,observer,kappa_c_U,gamma_eff_over_kappa_c,kappa_U_transition
2,80.0,4096,r/M=4,0.5672521588700428,8.116570683796425,nan
2,80.0,4096,r/M=4,0.5678611793197346,8.10280515340481,nan
2,80.0,4096,r/M=4,0.5684701997694265,8.089297013784918,nan
2,80.0,4096,r/M=4,0.5690792202191183,8.076103146347396,nan
2,80.0,4096,r/M=4,0.5696882406688102,8.063285770247377,nan
2,80.0,4096,r/M=4,0.5702972611185021,8.050899194000483,nan
2,80.0,4096,r/M=4,0.5709062815681939,8.038990328478633,nan
2,80.0,4096,r/M=4,0.5715153020178858,8.027599225695681,nan
2,80.0,4096,r/M=4,0.5721243224675776,8.016759630324664,nan
2,80.0,4096,r/M=4,0.5727333429172695,8.006499533253242,nan
2,80.0,4096,r/M=4,0.5733423633669614,7.996841718760256,nan
2,80.0,4096,r/M=4,0.5739513838166532,7.987804298656732,nan
2,80.0,4096,r/M=4,0.5745604042663451,7.979401227677506,nan
2,80.0,4096,r/M=4,0.5751694247160369,7.971642795498038,nan
2,80.0,4096,r/M=4,0.5757784451657288,7.964536090891082,nan
2,80.0,4096,r/M=4,0.5763874656154208,7.958085433685988,nan
2,80.0,4096,r/M=4,0.5769964860651126,7.952292770305472,nan
2,80.0,4096,r/M=4,0.5776055065148045,7.947158027962181,nan
2,80.0,4096,r/M=4,0.5782145269644963,7.942679422468546,nan
2,80.0,4096,r/M=4,0.5788235474141882,7.938853714150747,nan
2,80.0,4096,r/M=4,0.5794325678638801,7.935676406247396,nan
2,80.0,4096,r/M=4,0.5800415883135719,7.933141880831567,nan
2,80.0,4096,r/M=4,0.5806506087632638,7.931243469011581,nan
2,80.0,4096,r/M=4,0.5812596292129556,7.929973455738381,nan
2,80.0,4096,r/M=4,0.5818686496626475,7.929323025628175,nan
2,80.0,4096,r/M=4,0.5824776701123394,7.929282164783662,nan
2,80.0,4096,r/M=4,0.5830866905620312,7.929839543338497,nan
2,80.0,4096,r/M=4,0.5836957110117231,7.930982411313768,nan
2,80.0,4096,r/M=4,0.5843047314614149,7.9326965405905465,nan
2,80.0,4096,r/M=4,0.5849137519111068,7.934966233939535,nan
2,80.0,4096,r/M=4,0.5855227723607987,7.9377743997853925,nan
2,80.0,4096,r/M=4,0.5861317928104905,7.9411026720044156,nan
2,80.0,4096,r/M=4,0.5867408132601825,7.9449315506521945,nan
2,80.0,4096,r/M=4,0.5873498337098743,7.949240548933684,nan
2,80.0,4096,r/M=4,0.5879588541595662,7.954008341118299,nan
2,80.0,4096,r/M=4,0.5885678746092581,7.959212909148893,nan
2,80.0,4096,r/M=4,0.5891768950589499,7.964831686253495,nan
2,80.0,4096,r/M=4,0.5897859155086418,7.970841696050082,nan
2,80.0,4096,r/M=4,0.5903949359583336,7.977219685968374,nan
2,80.0,4096,r/M=4,0.5910039564080255,7.9839422536597855,nan
2,80.0,4096,r/M=4,0.5916129768577174,7.990985965591645,nan
2,80.0,4096,r/M=4,0.5922219973074092,7.998327467207967,nan
2,80.0,4096,r/M=4,0.5928310177571011,8.005943583895464,nan
2,80.0,4096,r/M=4,0.5934400382067929,8.013811412613641,nan
2,80.0,4096,r/M=4,0.5940490586564848,8.021908403924739,nan
2,80.0,4096,r/M=4,0.5946580791061767,8.03021243441006,nan
2,80.0,4096,r/M=4,0.5952670995558685,8.038701869568987,nan
2,80.0,4096,r/M=4,0.5958761200055605,8.047355617484145,nan
2,80.0,4096,r/M=4,0.5964851404552522,8.05615317346918,nan
2,80.0,4096,r/M=4,0.5970941609049442,8.06507465621305,nan
2,80.0,4096,r/M=4,0.5977031813546361,8.074100835837353,nan
2,80.0,4096,r/M=4,0.5983122018043279,8.083213154346202,nan
2,80.0,4096,r/M=4,0.5989212222540198,8.092393739065423,nan
2,80.0,4096,r/M=4,0.5995302427037116,8.1016254096159,nan
2,80.0,4096,r/M=4,0.6001392631534035,8.110891679014353,nan
2,80.0,4096,r/M=4,0.6007482836030953,8.12017674938048,nan
2,80.0,4096,r/M=4,0.6013573040527872,8.12946550293296,nan
2,80.0,4096,r/M=4,0.6019663245024791,8.138743488736363,nan
2,80.0,4096,r/M=4,0.6025753449521709,8.14799690574902,nan
2,80.0,4096,r/M=4,0.6031843654018628,8.157212582652575,nan
2,80.0,4096,r/M=4,0.6037933858515546,8.166377954944464,nan
2,80.0,4096,r/M=4,0.6044024063012465,8.175481039722076,nan
2,80.0,4096,r/M=4,0.6050114267509384,8.184510408571025,nan
2,80.0,4096,r/M=4,0.6056204472006302,8.193455158941989,nan
2,80.0,4096,r/M=4,0.6062294676503222,8.202304884330482,nan
2,80.0,4096,r/M=4,0.606838488100014,8.211049643641726,nan
2,80.0,4096,r/M=4,0.6074475085497059,8.219679929949386,nan
2,80.0,4096,r/M=4,0.6080565289993978,8.228186639005248,nan
2,80.0,4096,r/M=4,0.6086655494490896,8.236561037674788,nan
2,80.0,4096,r/M=4,0.6092745698987815,8.244794732536093,nan
2,80.0,4096,r/M=4,0.6098835903484733,8.252879638894115,nan
2,80.0,4096,r/M=4,0.6104926107981652,8.260807950324622,nan
2,80.0,4096,r/M=4,0.6111016312478571,8.268572108936814,nan
2,80.0,4096,r/M=4,0.6117106516975489,8.276164776611312,nan
2,80.0,4096,r/M=4,0.6123196721472408,8.28357880722751,nan
2,80.0,4096,r/M=4,0.6129286925969326,8.290807220063444,nan
2,80.0,4096,r/M=4,0.6135377130466245,8.297843174598038,nan
2,80.0,4096,r/M=4,0.6141467334963164,8.304679946708728,nan
2,80.0,4096,r/M=4,0.6147557539460082,8.311310906494873,nan
2,80.0,4096,r/M=4,0.6153647743957001,8.317729497812701,nan
2,80.0,4096,r/M=4,0.6159737948453919,8.323929219625079,nan
2,80.0,4096,r/M=4,0.6165828152950839,8.329903609384225,nan
2,80.0,4096,r/M=4,0.6171918357447758,8.335646228469576,nan
2,80.0,4096,r/M=4,0.6178008561944676,8.341150649861628,nan
2,80.0,4096,r/M=4,0.6184098766441595,8.346410448212755,nan
2,80.0,4096,r/M=4,0.6190188970938513,8.351419192372177,nan
2,80.0,4096,r/M=4,0.6196279175435432,8.356170440608334,nan
2,80.0,4096,r/M=4,0.6202369379932351,8.36065773855841,nan
2,80.0,4096,r/M=4,0.6208459584429269,8.36487462004153,nan
2,80.0,4096,r/M=4,0.6214549788926188,8.36881461108094,nan
2,80.0,4096,r/M=4,0.6220639993423106,8.372471236973619,nan
2,80.0,4096,r/M=4,0.6226730197920025,8.375838032649389,nan
2,80.0,4096,r/M=4,0.6232820402416944,8.37890855657794,nan
2,80.0,4096,r/M=4,0.6238910606913862,8.381676408169557,nan
2,80.0,4096,r/M=4,0.6245000811410781,8.384135248775083,nan
2,80.0,4096,r/M=4,0.6251091015907699,8.386278826439748,nan
2,80.0,4096,r/M=4,0.6257181220404618,8.388101004521097,nan
2,80.0,4096,r/M=4,0.6263271424901538,8.389595794036262,nan
2,80.0,4096,r/M=4,0.6269361629398456,8.390757389897848,nan
2,80.0,4096,r/M=4,0.6275451833895375,8.391580210967241,nan
2,80.0,4096,r/M=4,0.6281542038392293,8.39205894390961,nan
2,80.0,4096,r/M=4,0.6287632242889212,8.392188590660414,nan
2,80.0,4096,r/M=4,0.6293722447386131,8.391964519406596,nan
2,80.0,4096,r/M=4,0.6299812651883049,8.391382518979771,nan
2,80.0,4096,r/M=4,0.6305902856379968,8.390438856230924,nan
2,80.0,4096,r/M=4,0.6311993060876886,8.389130336219756,nan
2,80.0,4096,r/M=4,0.6318083265373805,8.387454364767176,nan
2,80.0,4096,r/M=4,0.6324173469870723,8.385409012948605,nan
2,80.0,4096,r/M=4,0.6330263674367642,8.382993083111554,nan
2,80.0,4096,r/M=4,0.6336353878864561,8.380206175675493,nan
2,80.0,4096,r/M=4,0.6342444083361479,8.377048756189538,nan
2,80.0,4096,r/M=4,0.6348534287858398,8.373522221965482,nan
2,80.0,4096,r/M=4,0.6354624492355316,8.369628967408774,nan
2,80.0,4096,r/M=4,0.6360714696852235,8.36537244728328,nan
2,80.0,4096,r/M=4,0.6366804901349155,8.360757237046482,nan
2,80.0,4096,r/M=4,0.6372895105846073,8.355789089265711,nan
2,80.0,4096,r/M=4,0.6378985310342992,8.350474985176282,nan
2,80.0,4096,r/M=4,0.638507551483991,8.34482318037753,nan
2,80.0,4096,r/M=4,0.6391165719336829,8.338843243687931,nan
2,80.0,4096,r/M=4,0.6397255923833748,8.332546088118004,nan
2,80.0,4096,r/M=4,0.6403346128330666,8.325943992913905,nan
2,80.0,4096,r/M=4,0.6409436332827585,8.319050615851493,nan
2,80.0,4096,r/M=4,0.6415526537324503,8.311880994785131,nan
2,80.0,4096,r/M=4,0.6421616741821422,8.304451537509658,nan
2,80.0,4096,r/M=4,0.6427706946318341,8.296779999365052,nan
2,80.0,4096,r/M=4,0.6433797150815259,8.288885447858066,nan
2,80.0,4096,r/M=4,0.6439887355312178,8.28078821373735,nan
2,80.0,4096,r/M=4,0.6445977559809096,8.27250982824145,nan
2,80.0,4096,r/M=4,0.6452067764306015,8.264072946280514,nan
2,80.0,4096,r/M=4,0.6458157968802934,8.255501255504461,nan
2,80.0,4096,r/M=4,0.6464248173299852,8.246819371603532,nan
2,80.0,4096,r/M=4,0.6470338377796772,8.23805272004657,nan
2,80.0,4096,r/M=4,0.647642858229369,8.229227405053864,nan
2,80.0,4096,r/M=4,0.6482518786790609,8.220370066587437,nan
2,80.0,4096,r/M=4,0.6488608991287528,8.211507726522544,nan
2,80.0,4096,r/M=4,0.6494699195784446,8.202667625348496,nan
2,80.0,4096,r/M=4,0.6500789400281365,8.193877050896281,nan
2,80.0,4096,r/M=4,0.6506879604778283,8.18516316097018,nan
2,80.0,4096,r/M=4,0.6512969809275202,8.176552801726196,nan
2,80.0,4096,r/M=4,0.6519060013772121,8.16807232412192,nan
2,80.0,4096,r/M=4,0.6525150218269039,8.159747400515757,nan
2,80.0,4096,r/M=4,0.6531240422765958,8.151602843897022,nan
2,80.0,4096,r/M=4,0.6537330627262876,8.143662432063447,nan
2,80.0,4096,r/M=4,0.6543420831759795,8.135948739230535,nan
2,80.0,4096,r/M=4,0.6549511036256714,8.128482977378185,nan
2,80.0,4096,r/M=4,0.6555601240753632,8.121284849554787,nan
2,80.0,4096,r/M=4,0.6561691445250551,8.11437241732403,nan
2,80.0,4096,r/M=4,0.656778164974747,8.107761984049654,nan
2,80.0,4096,r/M=4,0.6573871854244389,8.101467995803128,nan
2,80.0,4096,r/M=4,0.6579962058741308,8.09550296113803,nan
2,80.0,4096,r/M=4,0.6586052263238226,8.08987739071636,nan
2,80.0,4096,r/M=4,0.6592142467735145,8.08459975740164,nan
2,80.0,4096,r/M=4,0.6598232672232063,8.079676477087165,nan
2,80.0,4096,r/M=4,0.6604322876728982,8.075111910238366,nan
